#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-4972310.369415186,18598.36328125,-4953712.006133936,7.236306426443341,3275.417892465113,0.9379715181464965,0
2000,7.999999999999562,-4968252.267852686,31452.1640625,-4936800.103790186,12.237501412851325,3275.417892465113,0.9379715181464965,225
3000,11.999999999999122,-4958345.486602686,46510.05859375,-4911835.428008936,18.096271742122305,3275.417892465113,0.9379715181464965,210
4000,15.999999999998682,-4948440.283477686,61964.578125,-4886475.705352686,24.109362104451336,3275.417892465113,0.9379715181464965,213
5000,20.000000000000018,-4939080.885040186,77733.734375,-4861347.150665186,30.24487225584756,3275.417892465113,0.9379715181464965,210
6000,24.000000000001354,-4929623.642852686,93208.4375,-4836415.205352686,36.26581571078228,3275.417892465113,0.9379715181464965,211
7000,28.00000000000269,-4919979.342071436,108757.140625,-4811222.201446436,42.31555130551225,3275.417892465113,0.9379715181464965,212
8000,32.00000000000402,-4910156.478790186,124062.546875,-4786093.931915186,48.27062422947534,3275.417892465113,0.9379715181464965,209
9000,36.000000000001805,-4900970.900665186,139218.828125,-4761752.072540186,54.167675155506416,3275.417892465113,0.9379715181464965,210
10000,39.99999999999959,-4891837.142852686,155083.0625,-4736754.080352686,60.34017858617928,3275.417892465113,0.9379715181464965,208
11000,43.99999999999737,-4880724.369415186,170145.953125,-4710578.416290186,66.20089281044595,3275.417892465113,0.9379715181464965,208
12000,47.999999999995154,-4869717.826446436,185731.09375,-4683986.732696436,72.26480561590282,3275.417892465113,0.9379715181464965,209
13000,51.99999999999294,-4858312.599883936,201012.65625,-4657299.943633936,78.21060134279503,3275.417892465113,0.9379715181464965,207
14000,55.99999999999072,-4846525.748321436,216723.5625,-4629802.185821436,84.32344741117676,3275.417892465113,0.9379715181464965,207
15000,59.9999999999885,-4836080.955352686,231920.21875,-4604160.736602686,90.2362075621299,3275.417892465113,0.9379715181464965,205
