#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1900265.9699774897,7207.703468521289,-1893058.2665089683,7.385402527794106,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1899521.9699774897,12017.63534438131,-1887504.3346331085,12.313918689653065,1264.7681772367916,0.9234623645400899,70.7
3000,11.999999999999122,-1895966.9699774897,17751.858879797863,-1878215.1110976918,18.189514040982104,1264.7681772367916,0.9234623645400899,78.8
4000,15.999999999998682,-1892003.4699774897,23679.27386092053,-1868324.1961165692,24.26306378897819,1264.7681772367916,0.9234623645400899,81.8
5000,20.000000000000018,-1888597.9699774897,29578.1206833064,-1859019.8492941833,30.30734105751246,1264.7681772367916,0.9234623645400899,83.3
6000,24.000000000001354,-1885146.9699774897,35337.57781733414,-1849809.3921601556,36.208792117776014,1264.7681772367916,0.9234623645400899,84.2
7000,28.00000000000269,-1881380.4699774897,41171.6316493592,-1840208.8383281305,42.186678986527056,1264.7681772367916,0.9234623645400899,84.8
8000,32.00000000000402,-1877023.9699774897,47151.58212232715,-1829872.3878551626,48.3140594388477,1264.7681772367916,0.9234623645400899,85.2
9000,36.000000000001805,-1873638.9699774897,53167.33945594466,-1820471.630521545,54.4781295358393,1264.7681772367916,0.9234623645400899,85.5
10000,39.99999999999959,-1870023.4699774897,58717.643226446104,-1811305.8267510436,60.165270755745254,1264.7681772367916,0.9234623645400899,85.7
11000,43.99999999999737,-1866026.4699774897,64421.2737294276,-1801605.196248062,66.00951883258311,1264.7681772367916,0.9234623645400899,85.9
12000,47.999999999995154,-1861338.9699774897,70345.17422864419,-1790993.7957488454,72.07946745247142,1264.7681772367916,0.9234623645400899,86
13000,51.99999999999294,-1857593.9699774897,76413.56422276018,-1781180.4057547294,78.2974678180413,1264.7681772367916,0.9234623645400899,86
14000,55.99999999999072,-1853169.9699774897,82234.74468962912,-1770935.2252878605,84.26216394108806,1264.7681772367916,0.9234623645400899,86.1
15000,59.9999999999885,-1849285.9699774897,88631.2733703579,-1760654.6966071317,90.81639293983648,1264.7681772367916,0.9234623645400899,86.1
16000,63.99999999998629,-1844571.9699774897,94295.99650749975,-1750275.9734699898,96.62077442681296,1264.7681772367916,0.9234623645400899,86.1
17000,67.99999999999118,-1840466.9699774897,99762.2248816354,-1740704.7450958542,102.22176745158892,1264.7681772367916,0.9234623645400899,86.1
18000,71.99999999999606,-1835822.9699774897,105694.22784161523,-1730128.7421358745,108.30001829068806,1264.7681772367916,0.9234623645400899,86.1
19000,76.00000000000095,-1831594.4699774897,111638.35032113144,-1719956.1196563581,114.39068744452646,1264.7681772367916,0.9234623645400899,86.1
20000,80.00000000000584,-1826809.9699774897,117398.73361076009,-1709411.2363667295,120.29308749387455,1264.7681772367916,0.9234623645400899,86.1
21000,84.00000000001073,-1821211.4699774897,122880.02846066648,-1698331.4415168231,125.90951844402134,1264.7681772367916,0.9234623645400899,86.1
22000,88.00000000001562,-1817026.4699774897,129297.1387963852,-1687729.3311811045,132.48483651884692,1264.7681772367916,0.9234623645400899,86.1
23000,92.0000000000205,-1810621.4699774897,135092.68598737998,-1675528.7839901098,138.42326740203418,1264.7681772367916,0.9234623645400899,86.1
24000,96.0000000000254,-1804782.9699774897,141345.2548241662,-1663437.7151533235,144.82998736409735,1264.7681772367916,0.9234623645400899,86.1
25000,100.00000000003028,-1800306.9699774897,147147.50984398642,-1653159.4601335032,150.77529145123648,1264.7681772367916,0.9234623645400899,86.1
26000,104.00000000003517,-1794175.9699774897,153275.90493038818,-1640900.0650471016,157.0547762774509,1264.7681772367916,0.9234623645400899,86
27000,108.00000000004006,-1787221.9699774897,158032.36462924618,-1629189.6053482434,161.9285019567488,1264.7681772367916,0.9234623645400899,86
28000,112.00000000004495,-1780553.9699774897,163966.76850860694,-1616587.2014688826,168.00921290760783,1264.7681772367916,0.9234623645400899,86
29000,116.00000000004984,-1773757.4699774897,170588.51152529047,-1603168.9584521991,174.79420868710966,1264.7681772367916,0.9234623645400899,85.9
30000,120.00000000005473,-1766582.9699774897,176194.47130739645,-1590388.4986700932,180.53837806453987,1264.7681772367916,0.9234623645400899,85.8
31000,124.00000000005961,-1757766.4699774897,181683.76662663228,-1576082.7033508574,186.1630067279621,1264.7681772367916,0.9234623645400899,85.8
32000,128.0000000000645,-1748799.9699774897,186967.85846192518,-1561832.1115155644,191.57737281112654,1264.7681772367916,0.9234623645400899,85.7
33000,132.00000000005517,-1738882.9699774897,193428.64921124507,-1545454.3207662445,198.1974481985183,1264.7681772367916,0.9234623645400899,85.7
34000,136.00000000004584,-1727473.9699774897,197288.90098689756,-1530185.0689905921,202.1528708024499,1264.7681772367916,0.9234623645400899,85.6
35000,140.00000000003652,-1715738.4699774897,204434.9995050639,-1511303.4704724257,209.47514956855446,1264.7681772367916,0.9234623645400899,85.6
