#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899832.9699774897,7165.519438024814,-1892667.4505394648,7.342178490231817,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898454.9699774897,11957.616386551003,-1886497.3535909387,12.252420021622196,1264.7681772367916,0.9234623645400899,63.6
3000,11.999999999999122,-1894611.4699774897,17678.611987343887,-1876932.8579901457,18.114461316207116,1264.7681772367916,0.9234623645400899,73.6
4000,15.999999999998682,-1891120.9699774897,23628.51163067369,-1867492.458346816,24.211050064326667,1264.7681772367916,0.9234623645400899,77.6
5000,20.000000000000018,-1887913.4699774897,29586.88782964898,-1858326.5821478406,30.31632434949205,1264.7681772367916,0.9234623645400899,79.1
6000,24.000000000001354,-1884330.9699774897,35350.623981411416,-1848980.3459960783,36.22215992259417,1264.7681772367916,0.9234623645400899,76.4
7000,28.00000000000269,-1881209.9699774897,41298.75183176363,-1839911.218145726,42.31693319586899,1264.7681772367916,0.9234623645400899,75.7
8000,32.00000000000402,-1877095.4699774897,47380.10354968504,-1829715.3664278046,48.54821484419075,1264.7681772367916,0.9234623645400899,74.6
9000,36.000000000001805,-1873171.9699774897,52964.556844878876,-1820207.4131326107,54.270347512772084,1264.7681772367916,0.9234623645400899,73.8
10000,39.99999999999959,-1869340.9699774897,59025.812954783585,-1810315.157022706,60.48103811501485,1264.7681772367916,0.9234623645400899,73
11000,43.99999999999737,-1865359.9699774897,64573.77164808602,-1800786.1983294038,66.16577644207857,1264.7681772367916,0.9234623645400899,72.2
12000,47.999999999995154,-1861810.9699774897,70559.92487868674,-1791251.045098803,72.2995125751095,1264.7681772367916,0.9234623645400899,71.5
13000,51.99999999999294,-1857711.9699774897,76616.83088908964,-1781095.1390884,78.50574583029336,1264.7681772367916,0.9234623645400899,70.9
14000,55.99999999999072,-1853009.4699774897,82226.5464111039,-1770782.9235663859,84.25376354181967,1264.7681772367916,0.9234623645400899,70.4
15000,59.9999999999885,-1849187.9699774897,88106.2469778182,-1761081.7229996715,90.27842252199729,1264.7681772367916,0.9234623645400899,69.8
16000,63.99999999998629,-1845253.4699774897,94684.33104357946,-1750569.1389339103,97.01868298075368,1264.7681772367916,0.9234623645400899,69.3
17000,67.99999999999118,-1839973.9699774897,99986.55038228912,-1739987.4195952006,102.45162348365409,1264.7681772367916,0.9234623645400899,68.8
18000,71.99999999999606,-1835113.9699774897,105246.51277557728,-1729867.4572019123,107.84126523641922,1264.7681772367916,0.9234623645400899,68.4
19000,76.00000000000095,-1830717.9699774897,111560.67838295801,-1719157.2915945316,114.31110057874737,1264.7681772367916,0.9234623645400899,68
20000,80.00000000000584,-1826642.4699774897,117331.94014730101,-1709310.5298301887,120.22464730123548,1264.7681772367916,0.9234623645400899,67.7
21000,84.00000000001073,-1821133.9699774897,123278.79082192757,-1697855.179155562,126.31811191123444,1264.7681772367916,0.9234623645400899,67.4
22000,88.00000000001562,-1816520.9699774897,129244.94423919395,-1687276.0257382956,132.4313551545953,1264.7681772367916,0.9234623645400899,67.1
23000,92.0000000000205,-1810650.9699774897,135066.86767106235,-1675584.1023064274,138.39681255973545,1264.7681772367916,0.9234623645400899,66.9
24000,96.0000000000254,-1805462.4699774897,140928.53598821015,-1664533.9339892794,144.40299472242026,1264.7681772367916,0.9234623645400899,66.6
25000,100.00000000003028,-1800135.9699774897,146493.73760195397,-1653642.2323755356,150.10540107769444,1264.7681772367916,0.9234623645400899,66.4
26000,104.00000000003517,-1793508.9699774897,153661.91097123935,-1639847.0590062502,157.45029892933255,1264.7681772367916,0.9234623645400899,66.2
27000,108.00000000004006,-1787710.9699774897,158509.39385269885,-1629201.5761247908,162.41729188104375,1264.7681772367916,0.9234623645400899,65.9
28000,112.00000000004495,-1781312.4699774897,164652.6534909043,-1616659.8164865854,168.71200773041903,1264.7681772367916,0.9234623645400899,65.7
29000,116.00000000004984,-1774560.9699774897,170156.40175459767,-1604404.568222892,174.35144566186912,1264.7681772367916,0.9234623645400899,65.5
30000,120.00000000005473,-1767129.9699774897,175481.97847617161,-1591647.991501318,179.80831940164614,1264.7681772367916,0.9234623645400899,65.3
31000,124.00000000005961,-1756544.9699774897,181791.5505793474,-1574753.4193981423,186.2734479913013,1264.7681772367916,0.9234623645400899,65.1
32000,128.0000000000645,-1748557.9699774897,187329.64844821492,-1561228.3215292748,191.94808238470216,1264.7681772367916,0.9234623645400899,64.9
33000,132.00000000005517,-1738328.4699774897,193783.8828573818,-1544544.5871201078,198.56143979162334,1264.7681772367916,0.9234623645400899,64.7
34000,136.00000000004584,-1729785.4699774897,198916.40772152785,-1530869.0622559618,203.8205021644275,1264.7681772367916,0.9234623645400899,64.5
35000,140.00000000003652,-1715321.9699774897,205376.49331985982,-1509945.47665763,210.4398550160058,1264.7681772367916,0.9234623645400899,64.3
36000,144.0000000000272,-1701487.9699774897,210088.95484602422,-1491399.0151314654,215.26849778959746,1264.7681772367916,0.9234623645400899,64.2
37000,148.00000000001788,-1689043.9699774897,215517.62726090985,-1473526.3427165798,220.83100894874312,1264.7681772367916,0.9234623645400899,64
38000,152.00000000000855,-1672546.9699774897,221909.20522094634,-1450637.7647565433,227.38016517149916,1264.7681772367916,0.9234623645400899,63.9
39000,155.99999999999923,-1659191.4699774897,227605.84246924432,-1431585.6275082454,233.21724758162466,1264.7681772367916,0.9234623645400899,63.8
40000,159.9999999999899,-1639529.4699774897,234435.69290424976,-1405093.77707324,240.21548146949755,1264.7681772367916,0.9234623645400899,63.6
41000,163.9999999999806,-1621350.9699774897,238741.73656079793,-1382609.2334166917,244.6276865282591,1264.7681772367916,0.9234623645400899,63.5
42000,167.99999999997127,-1607231.4699774897,245509.56148954542,-1361721.9084879442,251.56236573013447,1264.7681772367916,0.9234623645400899,63.4
43000,171.99999999996194,-1597149.4699774897,253341.77603311825,-1343807.6939443713,259.58767605830695,1264.7681772367916,0.9234623645400899,63.3
44000,175.99999999995262,-1581763.9699774897,258165.01047496457,-1323598.9595025252,264.5298227482378,1264.7681772367916,0.9234623645400899,63.2
45000,179.9999999999433,-1570923.4699774897,263919.6872716767,-1307003.782705813,270.42637561652543,1264.7681772367916,0.9234623645400899,63.1
46000,183.99999999993398,-1557827.9699774897,268860.69100448315,-1288967.2789730066,275.48919508703773,1264.7681772367916,0.9234623645400899,62.9
47000,187.99999999992465,-1545834.9699774897,275057.4024291752,-1270777.5675483146,281.83868052574996,1264.7681772367916,0.9234623645400899,62.8
48000,191.99999999991533,-1533487.9699774897,281133.3349729855,-1252354.6350045041,288.06440939538794,1264.7681772367916,0.9234623645400899,62.7
49000,195.999999999906,-1523750.9699774897,288019.87839071604,-1235731.0915867737,295.1207339774403,1264.7681772367916,0.9234623645400899,62.6
50000,199.9999999998967,-1513753.9699774897,294078.0120054636,-1219675.957972026,301.32822510238395,1264.7681772367916,0.9234623645400899,62.4
51000,203.99999999988736,-1510511.9699774897,293655.62925543747,-1216856.3407220521,300.89542890823367,1264.7681772367916,0.9234623645400899,62.3
52000,207.99999999987804,-1507719.0233240733,293078.11715146113,-1214640.9061726122,300.3036787937671,1264.7681772367916,0.9234623645400899,60.4
53000,211.99999999986872,-1510851.990780687,292959.25807803014,-1217892.7327026569,300.1818893631666,1264.7681772367916,0.9234623645400899,60.5
54000,215.9999999998594,-1508729.8543654364,294596.9902695531,-1214132.8640958832,301.85999828093054,1264.7681772367916,0.9234623645400899,60.5
55000,219.99999999985008,-1509277.3632803923,293149.0441911154,-1216128.3190892767,300.37635447198267,1264.7681772367916,0.9234623645400899,60.5
56000,223.99999999984075,-1508680.9388162037,293102.9120005795,-1215578.0268156242,300.32908493625825,1264.7681772367916,0.9234623645400899,60.3
57000,227.99999999983143,-1509264.2184689464,294616.31659130065,-1214647.9018776459,301.8798010747206,1264.7681772367916,0.9234623645400899,60.2
58000,231.9999999998221,-1509921.785249019,292091.01897999016,-1217830.766269029,299.29224465769295,1264.7681772367916,0.9234623645400899,60.1
59000,235.9999999998128,-1512162.0702351583,295051.34574977605,-1217110.7244853822,302.32555546246704,1264.7681772367916,0.9234623645400899,60
60000,239.99999999980346,-1511057.650869307,295023.0330270901,-1216034.617842217,302.2965447165884,1264.7681772367916,0.9234623645400899,59.8
61000,243.99999999979414,-1510650.5858185664,294509.9173404742,-1216140.6684780922,301.77077865177534,1264.7681772367916,0.9234623645400899,59.7
62000,247.99999999978482,-1511466.4838302704,294143.96182278777,-1217322.5220074826,301.3958008495967,1264.7681772367916,0.9234623645400899,59.6
63000,251.9999999997755,-1510199.530615964,292663.954159062,-1217535.576456902,299.8793050075338,1264.7681772367916,0.9234623645400899,59.5
64000,255.99999999976617,-1510874.6179884505,293049.75479917147,-1217824.863189279,300.2746171947142,1264.7681772367916,0.9234623645400899,59.4
65000,259.99999999978525,-1507998.8632994797,293392.2559555476,-1214606.6073439321,300.6255623906591,1264.7681772367916,0.9234623645400899,59.3
66000,263.99999999980434,-1507610.9498391822,293637.5959674112,-1213973.3538717711,300.87695102667885,1264.7681772367916,0.9234623645400899,59.2
67000,267.99999999982344,-1509734.5406986456,292442.88710763253,-1217291.653591013,299.65278775865283,1264.7681772367916,0.9234623645400899,59.1
68000,271.99999999984254,-1507659.3491494032,294328.04728250235,-1213331.3018669009,301.5844247608666,1264.7681772367916,0.9234623645400899,59
69000,275.99999999986164,-1507885.3142557917,293953.06284208375,-1213932.251413708,301.2001954364714,1264.7681772367916,0.9234623645400899,59
70000,279.99999999988074,-1510235.5977783976,293263.47728512203,-1216972.1204932756,300.4936088048546,1264.7681772367916,0.9234623645400899,58.9
71000,283.99999999989984,-1508806.6501732022,294086.1269399368,-1214720.5232332654,301.33654010283215,1264.7681772367916,0.9234623645400899,58.8
72000,287.99999999991894,-1511491.6701237103,293768.16695328883,-1217723.5031704213,301.0107411157646,1264.7681772367916,0.9234623645400899,58.7
73000,291.99999999993804,-1509266.36661134,292490.59239745315,-1216775.7742138868,299.7016691769255,1264.7681772367916,0.9234623645400899,58.7
