#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899548.9699774897,7126.210265510209,-1892422.7597119794,7.30190018753488,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898615.9699774897,11965.18925743726,-1886650.7807200523,12.260179594422366,1264.7681772367916,0.9234623645400899,70.3
3000,11.999999999999122,-1895063.9699774897,17855.05426394116,-1877208.9157135484,18.295253608964767,1264.7681772367916,0.9234623645400899,76.2
4000,15.999999999998682,-1891649.9699774897,23704.247167499245,-1867945.7228099904,24.288652788628262,1264.7681772367916,0.9234623645400899,70.9
5000,20.000000000000018,-1888288.9699774897,29353.83516985633,-1858935.1348076332,30.077525998497336,1264.7681772367916,0.9234623645400899,67.6
6000,24.000000000001354,-1884380.9699774897,35473.081018647325,-1848907.8889588423,36.34763602136795,1264.7681772367916,0.9234623645400899,66
7000,28.00000000000269,-1881059.9699774897,41387.22974197255,-1839672.740235517,42.40759244462482,1264.7681772367916,0.9234623645400899,64.3
8000,32.00000000000402,-1877566.9699774897,46899.97722704132,-1830666.9927504484,48.056251464676066,1264.7681772367916,0.9234623645400899,62.8
9000,36.000000000001805,-1873578.9699774897,53114.66331362014,-1820464.3066638694,54.424154713431996,1264.7681772367916,0.9234623645400899,61.5
10000,39.99999999999959,-1870176.4699774897,59136.40846753253,-1811040.061509957,60.594360254720776,1264.7681772367916,0.9234623645400899,60.4
11000,43.99999999999737,-1866284.4699774897,64711.52260926692,-1801572.9473682228,66.3069235219154,1264.7681772367916,0.9234623645400899,59.6
12000,47.999999999995154,-1861983.4699774897,70380.75269819758,-1791602.7172792922,72.1159230752814,1264.7681772367916,0.9234623645400899,58.7
13000,51.99999999999294,-1857977.9699774897,76569.80088970099,-1781408.1690877888,78.45755635109461,1264.7681772367916,0.9234623645400899,57.9
14000,55.99999999999072,-1853726.4699774897,82325.90661060959,-1771400.5633668802,84.35557337234285,1264.7681772367916,0.9234623645400899,57.3
15000,59.9999999999885,-1849294.9699774897,88005.24051065916,-1761289.7294668306,90.17492583666086,1264.7681772367916,0.9234623645400899,56.7
16000,63.99999999998629,-1845153.9699774897,94045.3199583232,-1751108.6500191665,96.36391768623913,1264.7681772367916,0.9234623645400899,56.2
17000,67.99999999999118,-1840044.4699774897,100049.87425415304,-1739994.5957233366,102.51650854522413,1264.7681772367916,0.9234623645400899,55.7
18000,71.99999999999606,-1835697.4699774897,105909.20242346452,-1729788.2675540252,108.52029286595814,1264.7681772367916,0.9234623645400899,55.4
19000,76.00000000000095,-1831184.4699774897,111164.3368589912,-1720020.1331184984,113.90498763226473,1264.7681772367916,0.9234623645400899,55
20000,80.00000000000584,-1826645.9699774897,117526.95029569246,-1709119.0196817971,120.42446523896915,1264.7681772367916,0.9234623645400899,54.7
21000,84.00000000001073,-1822422.9699774897,123626.15858165931,-1698796.8113958305,126.67404369200221,1264.7681772367916,0.9234623645400899,54.5
22000,88.00000000001562,-1816690.9699774897,129455.83714848621,-1687235.1328290035,132.64744742756176,1264.7681772367916,0.9234623645400899,54.2
23000,92.0000000000205,-1810560.9699774897,134419.64528057256,-1676141.324696917,137.7336335180831,1264.7681772367916,0.9234623645400899,54
24000,96.0000000000254,-1804971.4699774897,140561.77504636202,-1664409.6949311276,144.02719163911487,1264.7681772367916,0.9234623645400899,53.8
25000,100.00000000003028,-1799349.9699774897,145873.40453483487,-1653476.5654426548,149.46977429005196,1264.7681772367916,0.9234623645400899,53.6
26000,104.00000000003517,-1792760.9699774897,153007.89323563117,-1639753.0767418584,156.78015700980464,1264.7681772367916,0.9234623645400899,53.5
27000,108.00000000004006,-1786300.9699774897,157898.8981083599,-1628402.0718691298,161.79174494599852,1264.7681772367916,0.9234623645400899,53.3
28000,112.00000000004495,-1779479.9699774897,164296.5451225338,-1615183.4248549559,168.34711984963727,1264.7681772367916,0.9234623645400899,53.1
29000,116.00000000004984,-1773200.9699774897,170916.81961225558,-1602284.1503652341,175.13061089704473,1264.7681772367916,0.9234623645400899,52.9
30000,120.00000000005473,-1765420.9699774897,176653.1883869877,-1588767.781590502,181.00840437652002,1264.7681772367916,0.9234623645400899,52.7
31000,124.00000000005961,-1757819.9699774897,182460.67759257424,-1575359.2923849155,186.95907169328675,1264.7681772367916,0.9234623645400899,52.5
32000,128.0000000000645,-1747943.9699774897,187730.39208271692,-1560213.5778947729,192.3587059715595,1264.7681772367916,0.9234623645400899,52.2
33000,132.00000000005517,-1738504.4699774897,193934.12364068558,-1544570.346336804,198.71538461824326,1264.7681772367916,0.9234623645400899,52
34000,136.00000000004584,-1726145.9699774897,198864.77060338453,-1527281.199374105,203.76759198235226,1264.7681772367916,0.9234623645400899,51.8
35000,140.00000000003652,-1715647.9699774897,204508.71042617483,-1511139.2595513149,209.55067776217066,1264.7681772367916,0.9234623645400899,51.6
36000,144.0000000000272,-1701996.9699774897,210173.83065947745,-1491823.1393180122,215.3554661353353,1264.7681772367916,0.9234623645400899,51.4
37000,148.00000000001788,-1687529.4699774897,215824.03958270102,-1471705.4303947887,221.144975574283,1264.7681772367916,0.9234623645400899,51.3
38000,152.00000000000855,-1671157.4699774897,222813.90446020977,-1448343.5655172798,228.3071689082276,1264.7681772367916,0.9234623645400899,51.2
39000,155.99999999999923,-1654301.9699774897,228232.58095430635,-1426069.3890231834,233.85943770668436,1264.7681772367916,0.9234623645400899,51
40000,159.9999999999899,-1637187.9699774897,233511.95792613292,-1403676.0120513567,239.26897268591748,1264.7681772367916,0.9234623645400899,50.9
41000,163.9999999999806,-1620391.4699774897,240228.85455193958,-1380162.6154255501,246.1514679960834,1264.7681772367916,0.9234623645400899,50.8
42000,167.99999999997127,-1606293.9699774897,245216.86199271592,-1361077.1079847738,251.26245000618584,1264.7681772367916,0.9234623645400899,50.7
43000,171.99999999996194,-1594890.9699774897,252069.80412142572,-1342821.1658560638,258.28434489146247,1264.7681772367916,0.9234623645400899,50.6
44000,175.99999999995262,-1581829.9699774897,258798.16556858266,-1323031.804408907,265.17858767722174,1264.7681772367916,0.9234623645400899,50.5
45000,179.9999999999433,-1569049.9699774897,264624.6194849405,-1304425.3504925491,271.1486872616283,1264.7681772367916,0.9234623645400899,50.3
46000,183.99999999993398,-1557184.4699774897,269938.56731822295,-1287245.9026592667,276.5936454139567,1264.7681772367916,0.9234623645400899,50.2
47000,187.99999999992465,-1543689.9699774897,274674.6020354459,-1269015.3679420438,281.4464425531646,1264.7681772367916,0.9234623645400899,50.1
48000,191.99999999991533,-1534072.9699774897,282805.31192383025,-1251267.6580536594,289.7776073443756,1264.7681772367916,0.9234623645400899,50
49000,195.999999999906,-1520956.9699774897,288106.9999248999,-1232849.9700525897,295.210003410013,1264.7681772367916,0.9234623645400899,49.9
50000,199.9999999998967,-1512949.9699774897,294256.80643075233,-1218693.1635467373,301.51142753381714,1264.7681772367916,0.9234623645400899,49.8
51000,203.99999999988736,-1509345.4699774897,292751.3807891863,-1216594.0891883033,299.9688870578965,1264.7681772367916,0.9234623645400899,49.6
52000,207.99999999987804,-1509266.7882560734,293353.41969388956,-1215913.3685621838,300.5857686579851,1264.7681772367916,0.9234623645400899,49
53000,211.99999999986872,-1508774.9760598624,293452.25306207733,-1215322.722997785,300.6870386686664,1264.7681772367916,0.9234623645400899,49.1
54000,215.9999999998594,-1509101.6846998967,294789.67874553765,-1214312.0059543592,302.0574373076369,1264.7681772367916,0.9234623645400899,48.9
55000,219.99999999985008,-1507419.6568395067,293843.38752725837,-1213576.2693122483,301.08781618129177,1264.7681772367916,0.9234623645400899,48.9
56000,223.99999999984075,-1509972.3010014063,293517.12438757624,-1216455.17661383,300.7535093348659,1264.7681772367916,0.9234623645400899,48.8
57000,227.99999999983143,-1508774.533198082,293953.68458350975,-1214820.848614572,301.2008325063397,1264.7681772367916,0.9234623645400899,48.7
58000,231.9999999998221,-1509236.695193191,294936.1801120923,-1214300.5150810988,302.2075505257518,1264.7681772367916,0.9234623645400899,48.7
59000,235.9999999998128,-1509612.7475664765,293417.1065304228,-1216195.6410360537,300.6510256327725,1264.7681772367916,0.9234623645400899,48.6
60000,239.99999999980346,-1509021.331206685,293565.61911594897,-1215455.712090736,300.8031996545458,1264.7681772367916,0.9234623645400899,48.5
61000,243.99999999979414,-1509583.9840167267,294446.91821908834,-1215137.0657976384,301.7062263470969,1264.7681772367916,0.9234623645400899,48.4
62000,247.99999999978482,-1509361.0409842273,295647.2134132666,-1213713.8275709609,302.93611367527274,1264.7681772367916,0.9234623645400899,48.4
63000,251.9999999997755,-1509839.9133409904,294791.44747997675,-1215048.4658610136,302.0592496485378,1264.7681772367916,0.9234623645400899,48.3
64000,255.99999999976617,-1508931.2261906853,293903.8206585086,-1215027.4055321766,301.14973923379347,1264.7681772367916,0.9234623645400899,48.2
65000,259.99999999978525,-1507702.0862939209,295343.72215956374,-1212358.364134357,302.6251401339707,1264.7681772367916,0.9234623645400899,48.1
66000,263.99999999980434,-1507534.8350481829,294433.9432434795,-1213100.8918047035,301.69293148583097,1264.7681772367916,0.9234623645400899,48.1
67000,267.99999999982344,-1512374.182276857,293016.79501066246,-1219357.3872661947,300.24084481403384,1264.7681772367916,0.9234623645400899,48
68000,271.99999999984254,-1511498.8129841117,292229.23198241787,-1219269.5810016938,299.4338651699631,1264.7681772367916,0.9234623645400899,47.9
69000,275.99999999986164,-1509230.3160359869,293663.1907749617,-1215567.125261025,300.9031768498148,1264.7681772367916,0.9234623645400899,47.9
70000,279.99999999988074,-1510100.4982041353,292245.48565110366,-1217855.0125530316,299.4505195573588,1264.7681772367916,0.9234623645400899,47.8
71000,283.99999999989984,-1508603.831373876,293422.1226135854,-1215181.7087602906,300.65616538268455,1264.7681772367916,0.9234623645400899,47.7
72000,287.99999999991894,-1510810.66555244,293770.6284977919,-1217040.0370546482,301.0132633473013,1264.7681772367916,0.9234623645400899,47.7
73000,291.99999999993804,-1510826.0012705196,293697.21846725803,-1217128.7828032617,300.9380434624325,1264.7681772367916,0.9234623645400899,47.6
74000,295.99999999995714,-1510657.7702391595,292688.70504422724,-1217969.0651949323,299.9046661021825,1264.7681772367916,0.9234623645400899,47.6
75000,299.99999999997624,-1512559.7329197992,294068.3764358557,-1218491.3564839435,301.3183519769911,1264.7681772367916,0.9234623645400899,47.5
76000,303.99999999999534,-1511787.3225687332,293673.67293160304,-1218113.64963713,300.91391743403744,1264.7681772367916,0.9234623645400899,47.5
77000,308.00000000001444,-1510252.1349295191,294905.76645949285,-1215346.3684700262,302.17638705353517,1264.7681772367916,0.9234623645400899,47.4
78000,312.00000000003354,-1511067.1586263329,292868.0415362575,-1218199.1170900753,300.08842396449603,1264.7681772367916,0.9234623645400899,47.4
79000,316.00000000005264,-1511780.0703465752,293559.09570301534,-1218220.97464356,300.7965154130838,1264.7681772367916,0.9234623645400899,47.3
80000,320.00000000007174,-1511194.0731191533,294256.8858226782,-1216937.187296475,301.5115088830753,1264.7681772367916,0.9234623645400899,47.3
81000,324.00000000009084,-1510897.684234471,291927.54577668954,-1218970.1384577816,299.1247411783731,1264.7681772367916,0.9234623645400899,47.2
82000,328.00000000010994,-1510670.7458569212,294402.8913511045,-1216267.8545058167,301.66111403864545,1264.7681772367916,0.9234623645400899,47.2
