#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1900246.9699774897,7218.385850971254,-1893028.5841265183,7.396348274201875,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898978.9699774897,11988.259544309092,-1886990.7104331807,12.283818657228473,1264.7681772367916,0.9234623645400899,40.5
3000,11.999999999999122,-1895320.4699774897,17829.475249393057,-1877490.9947280965,18.26904396819263,1264.7681772367916,0.9234623645400899,40.9
4000,15.999999999998682,-1891943.9699774897,23649.529664373622,-1868294.440313116,24.23258627761495,1264.7681772367916,0.9234623645400899,41
5000,20.000000000000018,-1888181.9699774897,29584.443950756162,-1858597.5260267335,30.313820219094417,1264.7681772367916,0.9234623645400899,40.8
6000,24.000000000001354,-1884587.9699774897,35423.960259815256,-1849164.0097176745,36.29730423704442,1264.7681772367916,0.9234623645400899,40.7
7000,28.00000000000269,-1880651.9699774897,41297.799788450284,-1839354.1701890393,42.315957680835155,1264.7681772367916,0.9234623645400899,40.5
8000,32.00000000000402,-1876559.4699774897,47143.92805825098,-1829415.5419192386,48.306216671116914,1264.7681772367916,0.9234623645400899,40.4
9000,36.000000000001805,-1873363.9699774897,52872.92581619229,-1820491.0441612974,54.176457408407806,1264.7681772367916,0.9234623645400899,40.3
10000,39.99999999999959,-1869578.4699774897,58837.55956255749,-1810740.9104149323,60.288143514829855,1264.7681772367916,0.9234623645400899,40.2
11000,43.99999999999737,-1866014.9699774897,65027.12500444622,-1800987.8449730435,66.63030679334362,1264.7681772367916,0.9234623645400899,40.1
12000,47.999999999995154,-1862084.4699774897,70545.67449137734,-1791538.7954861124,72.2849108580832,1264.7681772367916,0.9234623645400899,40
13000,51.99999999999294,-1857731.9699774897,76164.09753282164,-1781567.872444668,78.04185076463186,1264.7681772367916,0.9234623645400899,39.9
14000,55.99999999999072,-1853627.4699774897,82028.78807025614,-1771598.6819072335,84.051129657564,1264.7681772367916,0.9234623645400899,39.8
15000,59.9999999999885,-1849344.9699774897,88502.95970972565,-1760842.010267764,90.68491582819854,1264.7681772367916,0.9234623645400899,39.7
16000,63.99999999998629,-1844967.9699774897,94424.05585203407,-1750543.9141254555,96.75199095243198,1264.7681772367916,0.9234623645400899,39.6
17000,67.99999999999118,-1840665.9699774897,100236.35907384535,-1740429.6109036442,102.70759097040516,1264.7681772367916,0.9234623645400899,39.5
18000,71.99999999999606,-1836364.9699774897,105464.63493331909,-1730900.3350441705,108.06476498806546,1264.7681772367916,0.9234623645400899,39.4
19000,76.00000000000095,-1831092.9699774897,111145.76579322899,-1719947.2041842607,113.88595871457646,1264.7681772367916,0.9234623645400899,39.4
20000,80.00000000000584,-1827283.9699774897,117489.54178821531,-1709794.4281892744,120.38613446039463,1264.7681772367916,0.9234623645400899,39.3
