#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899540.9699774897,6997.065105835645,-1892543.904871654,7.169571077038251,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898425.4699774897,11932.111651269654,-1886493.35832622,12.226286491401337,1264.7681772367916,0.9234623645400899,39.9
3000,11.999999999999122,-1894469.9699774897,17759.255601912722,-1876710.714375577,18.197093122230804,1264.7681772367916,0.9234623645400899,51.7
4000,15.999999999998682,-1890334.9699774897,23692.264429124472,-1866642.7055483651,24.276374627259745,1264.7681772367916,0.9234623645400899,57.9
5000,20.000000000000018,-1886711.9699774897,29542.81389331394,-1857169.1560841757,30.27116381226404,1264.7681772367916,0.9234623645400899,62.6
6000,24.000000000001354,-1882953.4699774897,35539.33890665844,-1847414.1310708313,36.415527434456834,1264.7681772367916,0.9234623645400899,65.4
7000,28.00000000000269,-1879072.9699774897,41134.30520007014,-1837938.6647774195,42.14843228920704,1264.7681772367916,0.9234623645400899,66.6
8000,32.00000000000402,-1875661.9699774897,47232.3973344942,-1828429.5726429955,48.39686707304484,1264.7681772367916,0.9234623645400899,68.5
9000,36.000000000001805,-1872237.9699774897,52902.59403357383,-1819335.375943916,54.20685706741177,1264.7681772367916,0.9234623645400899,69.6
10000,39.99999999999959,-1868589.9699774897,59201.379461974895,-1809388.5905155148,60.66093304710653,1264.7681772367916,0.9234623645400899,70
11000,43.99999999999737,-1864752.9699774897,64251.910734336285,-1800501.0592431533,65.83598035426961,1264.7681772367916,0.9234623645400899,71.1
12000,47.999999999995154,-1861147.9699774897,70605.73546687016,-1790542.2345106194,72.346452579682,1264.7681772367916,0.9234623645400899,69.8
13000,51.99999999999294,-1857012.9699774897,76507.323149584,-1780505.6468279057,78.39353828184326,1264.7681772367916,0.9234623645400899,69.7
14000,55.99999999999072,-1852866.9699774897,82190.29583437285,-1770676.674143117,84.21661924167014,1264.7681772367916,0.9234623645400899,69.1
15000,59.9999999999885,-1849060.4699774897,88121.35067788526,-1760939.1192996043,90.293898589394,1264.7681772367916,0.9234623645400899,68.1
16000,63.99999999998629,-1844998.4699774897,93940.83085216396,-1751057.6391253257,96.25685250075726,1264.7681772367916,0.9234623645400899,68.2
17000,67.99999999999118,-1840415.4699774897,100428.62435452892,-1739986.8456229607,102.90459636833378,1264.7681772367916,0.9234623645400899,68.8
18000,71.99999999999606,-1834646.4699774897,105641.46408198519,-1729005.0058955045,108.24595369085408,1264.7681772367916,0.9234623645400899,69.6
19000,76.00000000000095,-1830986.4699774897,111203.72206557733,-1719782.7479119124,113.94534384358076,1264.7681772367916,0.9234623645400899,70.1
20000,80.00000000000584,-1826617.9699774897,117423.05781469276,-1709194.9121627968,120.31801138787151,1264.7681772367916,0.9234623645400899,70.4
21000,84.00000000001073,-1821060.9699774897,123742.56686626867,-1697318.403111221,126.79332191191855,1264.7681772367916,0.9234623645400899,70.8
22000,88.00000000001562,-1816593.9699774897,128706.06105466782,-1687887.9089228217,131.87918631877034,1264.7681772367916,0.9234623645400899,71.1
23000,92.0000000000205,-1811308.9699774897,135517.38462302758,-1675791.585354462,138.8584365777586,1264.7681772367916,0.9234623645400899,71.3
24000,96.0000000000254,-1804575.9699774897,140143.20563688234,-1664432.7643406074,143.5983027997877,1264.7681772367916,0.9234623645400899,71.2
25000,100.00000000003028,-1799349.9699774897,146592.17603004206,-1652757.7939474476,150.20626641140424,1264.7681772367916,0.9234623645400899,70.7
26000,104.00000000003517,-1793750.9699774897,152038.64560288456,-1641712.3243746052,155.78701350047353,1264.7681772367916,0.9234623645400899,70.7
27000,108.00000000004006,-1786569.9699774897,159147.80936508352,-1627422.1606124062,163.07144691940522,1264.7681772367916,0.9234623645400899,70.1
28000,112.00000000004495,-1781275.9699774897,165007.72633091395,-1616268.2436465756,169.07583455287516,1264.7681772367916,0.9234623645400899,70.2
29000,116.00000000004984,-1773881.9699774897,169583.91525497494,-1604298.0547225147,173.76484505324154,1264.7681772367916,0.9234623645400899,70.4
30000,120.00000000005473,-1765708.9699774897,176082.0648516239,-1589626.9051258657,180.4232003347361,1264.7681772367916,0.9234623645400899,70.8
31000,124.00000000005961,-1758024.9699774897,181762.11304261134,-1576262.8569348783,186.24328470015428,1264.7681772367916,0.9234623645400899,70.9
32000,128.0000000000645,-1750088.9699774897,187957.087537197,-1562131.8824402927,192.59099038640377,1264.7681772367916,0.9234623645400899,71.1
