#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899290.9699774897,6854.291019115481,-1892436.678958374,7.023277031289595,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898063.9699774897,12035.650790783247,-1886028.3191867063,12.332378289715315,1264.7681772367916,0.9234623645400899,63.2
3000,11.999999999999122,-1894438.4699774897,17782.422573284086,-1876656.0474042057,18.220831253200625,1264.7681772367916,0.9234623645400899,72.8
4000,15.999999999998682,-1891197.9699774897,23728.178890352927,-1867469.7910871368,24.313174525299306,1264.7681772367916,0.9234623645400899,75
5000,20.000000000000018,-1887856.9699774897,29471.31672238173,-1858385.653255108,30.19790394672725,1264.7681772367916,0.9234623645400899,71.4
6000,24.000000000001354,-1884190.4699774897,35374.617498159845,-1848815.8524793298,36.246744976629536,1264.7681772367916,0.9234623645400899,69.6
7000,28.00000000000269,-1880653.4699774897,41269.161942645136,-1839384.3080348445,42.286613796236736,1264.7681772367916,0.9234623645400899,68.3
8000,32.00000000000402,-1877445.9699774897,47047.803455273395,-1830398.1665222163,48.207722207670365,1264.7681772367916,0.9234623645400899,67.4
9000,36.000000000001805,-1873613.9699774897,53021.64426920251,-1820592.325708287,54.32884237313175,1264.7681772367916,0.9234623645400899,65.5
10000,39.99999999999959,-1869721.9699774897,58923.28879745715,-1810798.6811800324,60.37598632230646,1264.7681772367916,0.9234623645400899,64
11000,43.99999999999737,-1865939.4699774897,64854.47022242028,-1801084.9997550694,66.45339537222605,1264.7681772367916,0.9234623645400899,62.8
12000,47.999999999995154,-1862220.9699774897,70487.77842235052,-1791733.1915551391,72.22558741665591,1264.7681772367916,0.9234623645400899,61.9
13000,51.99999999999294,-1858414.9699774897,76380.51108184748,-1782034.4588956423,78.26359978344271,1264.7681772367916,0.9234623645400899,61.1
14000,55.99999999999072,-1854676.4699774897,82617.1472174856,-1772059.322760004,84.65399423879667,1264.7681772367916,0.9234623645400899,60.5
15000,59.9999999999885,-1850575.4699774897,88009.33796779909,-1762566.1320096906,90.17912431270123,1264.7681772367916,0.9234623645400899,60
16000,63.99999999998629,-1846508.9699774897,93770.6727400153,-1752738.2972374745,96.08249930253321,1264.7681772367916,0.9234623645400899,59.5
17000,67.99999999999118,-1841337.4699774897,100292.31708805746,-1741045.1528894322,102.76492857612347,1264.7681772367916,0.9234623645400899,59.1
18000,71.99999999999606,-1837183.4699774897,105390.74146439889,-1731792.7285130909,107.98904974609773,1264.7681772367916,0.9234623645400899,58.8
19000,76.00000000000095,-1831822.9699774897,111383.81246503204,-1720439.1575124576,114.12987420018784,1264.7681772367916,0.9234623645400899,58.4
20000,80.00000000000584,-1827487.9699774897,117225.66698113378,-1710262.3029963558,120.11575407144656,1264.7681772367916,0.9234623645400899,58.2
21000,84.00000000001073,-1821756.4699774897,122398.40710163089,-1699358.0628758587,125.4160231694175,1264.7681772367916,0.9234623645400899,57.9
22000,88.00000000001562,-1815948.9699774897,129988.24084992307,-1685960.7291275666,133.19297703481755,1264.7681772367916,0.9234623645400899,57.7
23000,92.0000000000205,-1812039.9699774897,135393.08095483377,-1676646.8890226558,138.73106832110068,1264.7681772367916,0.9234623645400899,57.4
24000,96.0000000000254,-1805790.9699774897,141020.88943398063,-1664770.080543509,144.49762505437312,1264.7681772367916,0.9234623645400899,57.2
