#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1898939.9699774897,7068.88614919644,-1891871.0838282933,7.2431627997696575,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898361.9699774897,12086.664274177248,-1886275.3057033124,12.38464946192087,1264.7681772367916,0.9234623645400899,70
3000,11.999999999999122,-1895480.4699774897,17744.018791507675,-1877736.451185982,18.181480662787596,1264.7681772367916,0.9234623645400899,78.1
4000,15.999999999998682,-1892283.4699774897,23732.69897965408,-1868550.7709978356,24.31780605309403,1264.7681772367916,0.9234623645400899,81.3
5000,20.000000000000018,-1888943.4699774897,29535.636885309643,-1859407.83309218,30.26380986196788,1264.7681772367916,0.9234623645400899,83
6000,24.000000000001354,-1885276.4699774897,35335.18075872365,-1849941.289218766,36.20633596197014,1264.7681772367916,0.9234623645400899,84
7000,28.00000000000269,-1881170.9699774897,41150.77545975115,-1840020.1945177384,42.1653086074425,1264.7681772367916,0.9234623645400899,84.6
8000,32.00000000000402,-1877379.9699774897,46920.000576063394,-1830459.9694014264,48.0767684702838,1264.7681772367916,0.9234623645400899,85
9000,36.000000000001805,-1873748.4699774897,52899.58809574526,-1820848.8818817444,54.20377702105103,1264.7681772367916,0.9234623645400899,85.4
10000,39.99999999999959,-1870502.9699774897,58962.90426575895,-1811540.0657117306,60.416578472221296,1264.7681772367916,0.9234623645400899,85.6
11000,43.99999999999737,-1866557.9699774897,64469.43983431487,-1802088.5301431748,66.05887242687872,1264.7681772367916,0.9234623645400899,85.8
12000,47.999999999995154,-1862486.4699774897,70584.01715714378,-1791902.452820346,72.32419882572928,1264.7681772367916,0.9234623645400899,85.9
13000,51.99999999999294,-1858272.9699774897,76364.9402872823,-1781908.0296902074,78.24764510577823,1264.7681772367916,0.9234623645400899,86
14000,55.99999999999072,-1854209.9699774897,82463.20940620582,-1771746.7605712838,84.49626123749965,1264.7681772367916,0.9234623645400899,86
15000,59.9999999999885,-1850474.4699774897,88308.22179885145,-1762166.2481786383,90.48537683973863,1264.7681772367916,0.9234623645400899,86.1
16000,63.99999999998629,-1845310.9699774897,94410.40158779857,-1750900.5683896912,96.73800005532577,1264.7681772367916,0.9234623645400899,86.1
17000,67.99999999999118,-1841064.9699774897,99819.37595067311,-1741245.5940268165,102.28032752576243,1264.7681772367916,0.9234623645400899,86.1
18000,71.99999999999606,-1836122.4699774897,105670.43078420301,-1730452.0391932866,108.27563453950657,1264.7681772367916,0.9234623645400899,86.1
19000,76.00000000000095,-1831379.9699774897,111929.56035129464,-1719450.409626195,114.68907698042779,1264.7681772367916,0.9234623645400899,86.1
20000,80.00000000000584,-1826496.9699774897,117606.17741698519,-1708890.7925605045,120.50564562942509,1264.7681772367916,0.9234623645400899,86.1
21000,84.00000000001073,-1821611.9699774897,123441.123667621,-1698170.8463098686,126.48444691851715,1264.7681772367916,0.9234623645400899,86.1
22000,88.00000000001562,-1816352.9699774897,129182.68830556856,-1687170.281671921,132.36756436026323,1264.7681772367916,0.9234623645400899,86.1
23000,92.0000000000205,-1811227.4699774897,135289.12670187964,-1675938.3432756101,138.62455117511996,1264.7681772367916,0.9234623645400899,86.1
24000,96.0000000000254,-1805421.9699774897,141503.25671821253,-1663918.7132592772,144.99188464424802,1264.7681772367916,0.9234623645400899,86.1
25000,100.00000000003028,-1799654.9699774897,146403.58310958737,-1653251.3868679022,150.0130239122458,1264.7681772367916,0.9234623645400899,86.1
26000,104.00000000003517,-1791874.9699774897,152680.98116658305,-1639193.9888109067,156.44518523527773,1264.7681772367916,0.9234623645400899,86.1
27000,108.00000000004006,-1786462.9699774897,158492.7193120135,-1627970.250665476,162.4002062454505,1264.7681772367916,0.9234623645400899,86.1
28000,112.00000000004495,-1780469.9699774897,164119.16514946273,-1616350.804828027,168.16536674239296,1264.7681772367916,0.9234623645400899,86
29000,116.00000000004984,-1773431.9699774897,171235.69681809325,-1602196.2731593964,175.45734971646687,1264.7681772367916,0.9234623645400899,86
30000,120.00000000005473,-1763689.9699774897,175804.7447765831,-1587885.2252009066,180.13904319756207,1264.7681772367916,0.9234623645400899,85.9
31000,124.00000000005961,-1756697.9699774897,181548.1212069208,-1575149.8487705688,186.0240170997128,1264.7681772367916,0.9234623645400899,85.9
32000,128.0000000000645,-1749759.4699774897,186728.13693405993,-1563031.3330434298,191.33174117747308,1264.7681772367916,0.9234623645400899,85.8
33000,132.00000000005517,-1738399.9699774897,193145.1550526016,-1545254.814924888,197.90696476159493,1264.7681772367916,0.9234623645400899,85.7
34000,136.00000000004584,-1727813.9699774897,200150.33568003838,-1527663.6342974512,205.08485144068442,1264.7681772367916,0.9234623645400899,85.7
35000,140.00000000003652,-1715090.9699774897,205173.77123199226,-1509917.1987454975,210.23213500827856,1264.7681772367916,0.9234623645400899,85.6
36000,144.0000000000272,-1699965.4699774897,210360.35368472722,-1489605.1162927626,215.5465877079954,1264.7681772367916,0.9234623645400899,85.6
37000,148.00000000001788,-1685449.9699774897,216482.77362274774,-1468967.196354742,221.8199500742402,1264.7681772367916,0.9234623645400899,85.5
38000,152.00000000000855,-1670623.4699774897,222484.69991020652,-1448138.7700672832,227.96984813381258,1264.7681772367916,0.9234623645400899,85.5
39000,155.99999999999923,-1654416.9699774897,228116.65269326227,-1426300.3172842273,233.74065134485676,1264.7681772367916,0.9234623645400899,85.4
40000,159.9999999999899,-1637986.9699774897,234237.23026625937,-1403749.7397112304,240.0121259243245,1264.7681772367916,0.9234623645400899,85.4
41000,163.9999999999806,-1622554.9699774897,240381.10990210064,-1382173.860075389,246.30747705678638,1264.7681772367916,0.9234623645400899,85.3
42000,167.99999999997127,-1607347.9699774897,245943.0673366477,-1361404.902640842,252.00655925071774,1264.7681772367916,0.9234623645400899,85.3
43000,171.99999999996194,-1592929.9699774897,250357.62874716916,-1342572.3412303205,256.52995746524726,1264.7681772367916,0.9234623645400899,85.2
44000,175.99999999995262,-1580129.9699774897,255899.2298549506,-1324230.740122539,262.2081814665785,1264.7681772367916,0.9234623645400899,85.2
45000,179.9999999999433,-1567137.9699774897,263269.0820753105,-1303868.8879021793,269.75973036914195,1264.7681772367916,0.9234623645400899,85.2
46000,183.99999999993398,-1555391.9699774897,268724.972025936,-1286666.9979515537,275.3501300864298,1264.7681772367916,0.9234623645400899,85.1
47000,187.99999999992465,-1540576.9699774897,277730.60907750163,-1262846.360899988,284.5777925361274,1264.7681772367916,0.9234623645400899,85.1
48000,191.99999999991533,-1528579.4699774897,281646.299208393,-1246933.1707690968,288.5900202751074,1264.7681772367916,0.9234623645400899,85
49000,195.999999999906,-1519001.9699774897,287193.3669607025,-1231808.6030167872,294.27384569587724,1264.7681772367916,0.9234623645400899,85
50000,199.9999999998967,-1507686.4699774897,291344.75949029153,-1216341.710487198,298.52758685154413,1264.7681772367916,0.9234623645400899,84.9
51000,203.99999999988736,-1504517.9699774897,293982.5439695155,-1210535.4260079742,301.23040339300115,1264.7681772367916,0.9234623645400899,84.9
52000,207.99999999987804,-1504408.2565726917,293810.5096456372,-1210597.7469270546,301.0541277268355,1264.7681772367916,0.9234623645400899,81.8
53000,211.99999999986872,-1505035.9653313234,293833.5187710417,-1211202.4465602818,301.07770412029663,1264.7681772367916,0.9234623645400899,81.4
54000,215.9999999998594,-1505156.4675839692,292932.0906069816,-1212224.3769769876,300.154052104013,1264.7681772367916,0.9234623645400899,81
55000,219.99999999985008,-1502969.4356725737,294775.7662364104,-1208193.6694361633,302.0431817988573,1264.7681772367916,0.9234623645400899,80.7
56000,223.99999999984075,-1503590.2090498032,294777.46865313745,-1208812.7403966659,302.04492618704614,1264.7681772367916,0.9234623645400899,80.3
57000,227.99999999983143,-1506948.4673503013,293357.4886679476,-1213590.9786823536,300.58993794872043,1264.7681772367916,0.9234623645400899,80
58000,231.9999999998221,-1503933.6462349817,292705.29580514575,-1211228.350429836,299.9216658924986,1264.7681772367916,0.9234623645400899,79.7
59000,235.9999999998128,-1505469.1821127506,294297.3610899701,-1211171.8210227806,301.55298202950485,1264.7681772367916,0.9234623645400899,79.4
60000,239.99999999980346,-1505050.6330955094,293141.8934007665,-1211908.739694743,300.3690273857132,1264.7681772367916,0.9234623645400899,79.1
61000,243.99999999979414,-1506651.9100616397,292807.32781436434,-1213844.5822472754,300.0262134036566,1264.7681772367916,0.9234623645400899,78.8
62000,247.99999999978482,-1508239.1703883884,293583.07323915954,-1214656.097149229,300.8210840925284,1264.7681772367916,0.9234623645400899,78.5
63000,251.9999999997755,-1507833.3788582003,291189.8803186309,-1216643.4985395693,298.36888928152325,1264.7681772367916,0.9234623645400899,78.2
64000,255.99999999976617,-1507552.7979419036,294059.30788650346,-1213493.4900554002,301.30905985119796,1264.7681772367916,0.9234623645400899,78
65000,259.99999999978525,-1505679.252086589,294177.0416795546,-1211502.2104070345,301.42969625870336,1264.7681772367916,0.9234623645400899,77.7
66000,263.99999999980434,-1508867.917906952,294700.80774771544,-1214167.1101592367,301.9663752800673,1264.7681772367916,0.9234623645400899,77.5
67000,267.99999999982344,-1509039.5729006212,293068.59033009224,-1215970.982570529,300.2939170976975,1264.7681772367916,0.9234623645400899,77.2
68000,271.99999999984254,-1507853.796368354,291843.80127857544,-1216009.9950897787,299.0389320394758,1264.7681772367916,0.9234623645400899,77
69000,275.99999999986164,-1509156.6350009218,294812.8431547049,-1214343.791846217,302.0811728132339,1264.7681772367916,0.9234623645400899,76.8
70000,279.99999999988074,-1508942.465621139,293078.899125344,-1215863.5664957948,300.30448004647076,1264.7681772367916,0.9234623645400899,76.6
71000,283.99999999989984,-1508413.0264565535,293219.63524576096,-1215193.3912107926,300.4486858817994,1264.7681772367916,0.9234623645400899,76.4
72000,287.99999999991894,-1508166.4087884566,294294.6593811486,-1213871.749407308,301.55021371262734,1264.7681772367916,0.9234623645400899,76.2
73000,291.99999999993804,-1507169.099988239,293328.4936006507,-1213840.6063875882,300.5602280356748,1264.7681772367916,0.9234623645400899,76
74000,295.99999999995714,-1508858.8406096082,293034.0057854819,-1215824.8348241262,300.2584799041027,1264.7681772367916,0.9234623645400899,75.8
75000,299.99999999997624,-1508050.475839544,293640.6563429407,-1214409.8194966034,300.8800868528501,1264.7681772367916,0.9234623645400899,75.6
76000,303.99999999999534,-1509834.0211168444,293103.46579092636,-1216730.555325918,300.3296523797783,1264.7681772367916,0.9234623645400899,75.5
77000,308.00000000001444,-1508898.4641036661,292853.1390354743,-1216045.3250681919,300.0731540567598,1264.7681772367916,0.9234623645400899,75.3
78000,312.00000000003354,-1509891.994002062,293409.6790775961,-1216482.3149244657,300.64341506317555,1264.7681772367916,0.9234623645400899,75.1
79000,316.00000000005264,-1507425.9005972175,293055.91445792717,-1214369.9861392903,300.2809287139857,1264.7681772367916,0.9234623645400899,74.9
80000,320.00000000007174,-1505928.803969239,293020.1202407628,-1212908.683728476,300.244252024513,1264.7681772367916,0.9234623645400899,74.8
81000,324.00000000009084,-1508200.3117255392,293927.8447773759,-1214272.4669481632,301.1743556444138,1264.7681772367916,0.9234623645400899,74.6
82000,328.00000000010994,-1510037.8387996033,294528.6010404323,-1215509.237759171,301.7899229805483,1264.7681772367916,0.9234623645400899,74.5
83000,332.00000000012903,-1511291.9230219303,293648.6222132584,-1217643.3008086719,300.8882491141082,1264.7681772367916,0.9234623645400899,74.4
84000,336.00000000014813,-1509794.2730174037,293169.88450889074,-1216624.3885085129,300.3977085879296,1264.7681772367916,0.9234623645400899,74.2
85000,340.00000000016723,-1510592.3832533984,292337.12078763207,-1218255.2624657662,299.54441387083983,1264.7681772367916,0.9234623645400899,74.1
86000,344.00000000018633,-1511009.1808362985,293997.0319926274,-1217012.1488436712,301.24524860451425,1264.7681772367916,0.9234623645400899,74
87000,348.00000000020543,-1509699.1111870082,292948.3527522431,-1216750.758434765,300.17071517696627,1264.7681772367916,0.9234623645400899,73.8
88000,352.00000000022453,-1511495.8776402017,292089.2243958836,-1219406.653244318,299.2904058298257,1264.7681772367916,0.9234623645400899,73.7
89000,356.00000000024363,-1510125.4723857772,292793.29591834766,-1217332.1764674294,300.01183556461757,1264.7681772367916,0.9234623645400899,73.6
90000,360.00000000026273,-1510186.9329036847,293289.52115309995,-1216897.4117505848,300.5202947595748,1264.7681772367916,0.9234623645400899,73.4
91000,364.00000000028183,-1509138.5845232988,293180.6891069448,-1215957.895416354,300.40877956305076,1264.7681772367916,0.9234623645400899,73.3
92000,368.00000000030093,-1510352.8289234722,293998.3849923585,-1216354.4439311137,301.24663496116415,1264.7681772367916,0.9234623645400899,73.2
93000,372.00000000032003,-1509766.7872869791,293790.9778745673,-1215975.8094124119,301.0341144185659,1264.7681772367916,0.9234623645400899,73.1
94000,376.0000000003391,-1509812.4638494598,294640.80445180315,-1215171.6593976566,301.90489266008416,1264.7681772367916,0.9234623645400899,73
95000,380.0000000003582,-1510139.323232119,293285.17202304635,-1216854.1512090727,300.51583840586494,1264.7681772367916,0.9234623645400899,72.8
96000,384.0000000003773,-1510267.095812356,293969.0700682263,-1216298.02574413,301.21659730551784,1264.7681772367916,0.9234623645400899,72.7
97000,388.0000000003964,-1509280.3100956716,293523.5678752181,-1215756.7422204535,300.76011168055425,1264.7681772367916,0.9234623645400899,72.6
98000,392.0000000004155,-1509530.8654468348,293232.93191600195,-1216297.9335308329,300.46231036877197,1264.7681772367916,0.9234623645400899,72.5
99000,396.0000000004346,-1508037.9274785025,293284.87749674026,-1214753.0499817622,300.5155366182934,1264.7681772367916,0.9234623645400899,72.4
100000,400.0000000004537,-1511333.458613067,293980.5130979453,-1217352.9455151216,301.2283224522281,1264.7681772367916,0.9234623645400899,72.3
101000,404.0000000004728,-1509144.4900278142,292684.80310742126,-1216459.6869203928,299.9006679668435,1264.7681772367916,0.9234623645400899,72.2
102000,408.0000000004919,-1509648.8452130435,292429.21840322856,-1217219.626809815,299.6387820653696,1264.7681772367916,0.9234623645400899,72.2
103000,412.000000000511,-1510148.5347900214,294226.780819234,-1215921.7539707874,301.48066166946455,1264.7681772367916,0.9234623645400899,72.1
104000,416.0000000005301,-1509130.287364128,293174.06988649786,-1215956.2174776301,300.40199715203255,1264.7681772367916,0.9234623645400899,72
105000,420.0000000005492,-1507849.0414739,293810.45065168635,-1214038.5908222136,301.054067278445,1264.7681772367916,0.9234623645400899,71.9
106000,424.0000000005683,-1507898.3633712484,293880.3936169602,-1214017.9697542882,301.1257346208643,1264.7681772367916,0.9234623645400899,71.8
107000,428.0000000005874,-1509561.1887905365,293737.464576085,-1215823.7242144514,300.9792818007136,1264.7681772367916,0.9234623645400899,71.7
108000,432.0000000006065,-1511158.6312506264,292940.9198670493,-1218217.711383577,300.1630990410724,1264.7681772367916,0.9234623645400899,71.6
109000,436.0000000006256,-1510309.5813034773,294362.7869976694,-1215946.794305808,301.62002095060024,1264.7681772367916,0.9234623645400899,71.5
110000,440.0000000006447,-1506386.6891876375,294046.6125120252,-1212340.0766756122,301.29605148436207,1264.7681772367916,0.9234623645400899,71.4
111000,444.0000000006638,-1511388.9400854548,293629.5595021198,-1217759.3805833352,300.8687164299953,1264.7681772367916,0.9234623645400899,71.3
112000,448.0000000006829,-1511540.5112954965,295338.2464864353,-1216202.2648090613,302.61952946334026,1264.7681772367916,0.9234623645400899,71.2
113000,452.000000000702,-1510847.7184338141,293951.8709331135,-1216895.8475007005,301.19897414212153,1264.7681772367916,0.9234623645400899,71.2
114000,456.0000000007211,-1510416.8183161607,294016.3404549877,-1216400.477861173,301.2650330986109,1264.7681772367916,0.9234623645400899,71.1
115000,460.0000000007402,-1508727.4188447753,293022.1897198803,-1215705.229124895,300.2463725246657,1264.7681772367916,0.9234623645400899,71
116000,464.0000000007593,-1510383.2176477704,294065.72388088546,-1216317.493766885,301.3156340258062,1264.7681772367916,0.9234623645400899,70.9
117000,468.0000000007784,-1507544.6633459982,293573.4848027863,-1213971.178543212,300.8112592623952,1264.7681772367916,0.9234623645400899,70.9
