#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-553767.3044974287,2109.0815418266575,-551658.222955602,7.321601455078099,384.3705598594988,0.8966855305185513,0
2000,7.999999999999562,-553186.3044974287,3516.0185701116934,-549670.285927317,12.205733239083633,384.3705598594988,0.8966855305185513,1.16e+03
3000,11.999999999999122,-552185.3044974287,5220.178661413014,-546965.1258360157,18.121664300407794,384.3705598594988,0.8966855305185513,835
4000,15.999999999998682,-550926.1794974287,6950.972673294418,-543975.2068241343,24.130054068427892,384.3705598594988,0.8966855305185513,917
5000,20.000000000000018,-549750.0544974287,8661.239323805974,-541088.8151736227,30.067183832558232,384.3705598594988,0.8966855305185513,962
6000,24.000000000001354,-548835.8044974287,10483.40952853426,-538352.3949688944,36.39278279957772,384.3705598594988,0.8966855305185513,989
7000,28.00000000000269,-547427.0544974287,12101.724530296371,-535325.3299671323,42.01070569003845,384.3705598594988,0.8966855305185513,1.01e+03
8000,32.00000000000402,-546797.8044974287,14102.121419203337,-532695.6830782254,48.95501224343518,384.3705598594988,0.8966855305185513,1.02e+03
9000,36.000000000001805,-546084.0544974287,15769.418841075829,-530314.6356563529,54.74297586074368,384.3705598594988,0.8966855305185513,1.03e+03
10000,39.99999999999959,-544930.3044974287,17393.360362130858,-527536.9441352978,60.3804310125348,384.3705598594988,0.8966855305185513,1.04e+03
11000,43.99999999999737,-543795.3044974287,19193.248438650116,-524602.0560587785,66.62867836508035,384.3705598594988,0.8966855305185513,1.04e+03
12000,47.999999999995154,-542843.3044974287,20747.605321386683,-522095.699176042,72.02457292328614,384.3705598594988,0.8966855305185513,1.04e+03
13000,51.99999999999294,-541451.5544974287,22509.918901622266,-518941.6355958064,78.14238175024197,384.3705598594988,0.8966855305185513,1.05e+03
14000,55.99999999999072,-540609.8044974287,24329.554672914062,-516280.2498245146,84.45918252185345,384.3705598594988,0.8966855305185513,1.05e+03
15000,59.9999999999885,-539680.3044974287,26170.10669753592,-513510.1977998928,90.84859332194374,384.3705598594988,0.8966855305185513,1.05e+03
16000,63.99999999998629,-538631.0544974287,27963.971976486093,-510667.0825209426,97.0759327472371,384.3705598594988,0.8966855305185513,1.05e+03
17000,67.99999999999118,-537173.9294974287,29548.34602062701,-507625.5834768017,102.57603081216224,384.3705598594988,0.8966855305185513,1.05e+03
18000,71.99999999999606,-535621.3044974287,31262.609178143437,-504358.69531928527,108.52703430801978,384.3705598594988,0.8966855305185513,1.05e+03
19000,76.00000000000095,-534035.4294974287,32736.13467705011,-501299.2948203786,113.6423255961631,384.3705598594988,0.8966855305185513,1.05e+03
20000,80.00000000000584,-532860.0544974287,34418.494784103954,-498441.55971332476,119.48257878860375,384.3705598594988,0.8966855305185513,1.05e+03
21000,84.00000000001073,-531564.0544974287,36337.07109509618,-495226.9834023325,126.14284811990376,384.3705598594988,0.8966855305185513,1.05e+03
22000,88.00000000001562,-529889.8044974287,38208.34285124147,-491681.46164618724,132.63890137385894,384.3705598594988,0.8966855305185513,1.05e+03
23000,92.0000000000205,-528244.4294974287,39711.08915272681,-488533.3403447019,137.8556316374215,384.3705598594988,0.8966855305185513,1.05e+03
24000,96.0000000000254,-526776.4294974287,41724.96913653756,-485051.4603608911,144.84674427456076,384.3705598594988,0.8966855305185513,1.05e+03
25000,100.00000000003028,-524964.0544974287,43357.49721783213,-481606.55727959657,150.51400736440317,384.3705598594988,0.8966855305185513,1.05e+03
26000,104.00000000003517,-523052.9294974287,45230.196173147706,-477822.733324281,157.01501508944668,384.3705598594988,0.8966855305185513,1.05e+03
27000,108.00000000004006,-521906.8044974287,46838.572557248015,-475068.2319401807,162.5984364226698,384.3705598594988,0.8966855305185513,1.05e+03
28000,112.00000000004495,-520276.4294974287,48680.0190550657,-471596.410442363,168.99095235460172,384.3705598594988,0.8966855305185513,1.05e+03
29000,116.00000000004984,-517970.8044974287,49806.04493624426,-468164.75956118444,172.8999110964018,384.3705598594988,0.8966855305185513,1.05e+03
30000,120.00000000005473,-515764.5544974287,51531.87733035577,-464232.67716707295,178.89107678504746,384.3705598594988,0.8966855305185513,1.05e+03
31000,124.00000000005961,-512800.3044974287,53799.46014921763,-459000.8443482111,186.7629097781474,384.3705598594988,0.8966855305185513,1.05e+03
32000,128.0000000000645,-510513.8044974287,55157.30842477387,-455356.49607265485,191.4766317054075,384.3705598594988,0.8966855305185513,1.05e+03
33000,132.00000000005517,-506828.3044974287,57068.26318685556,-449760.0413105731,198.11044310111484,384.3705598594988,0.8966855305185513,1.05e+03
34000,136.00000000004584,-503933.3044974287,58586.078474813374,-445347.22602261533,203.37948481451724,384.3705598594988,0.8966855305185513,1.04e+03
35000,140.00000000003652,-499828.1794974287,61087.308208623086,-438740.8712888056,212.0624147512541,384.3705598594988,0.8966855305185513,1.04e+03
36000,144.0000000000272,-496260.8044974287,62152.28457998327,-434108.51991744543,215.75944229406844,384.3705598594988,0.8966855305185513,1.04e+03
37000,148.00000000001788,-491833.1794974287,63724.30017636705,-428108.87932106166,221.21663844776504,384.3705598594988,0.8966855305185513,1.04e+03
38000,152.00000000000855,-487414.8044974287,66575.81541500642,-420838.9890824223,231.11557203869555,384.3705598594988,0.8966855305185513,1.04e+03
39000,155.99999999999923,-482285.1794974287,66782.49770566256,-415502.68179176614,231.83306224948004,384.3705598594988,0.8966855305185513,1.04e+03
40000,159.9999999999899,-478799.0544974287,69216.93525314436,-409582.11924428435,240.28412549026032,384.3705598594988,0.8966855305185513,1.04e+03
41000,163.9999999999806,-473302.4294974287,70555.46182546497,-402746.96767196374,244.9307728129027,384.3705598594988,0.8966855305185513,1.04e+03
42000,167.99999999997127,-469801.5544974287,72476.30171705049,-397325.2527803782,251.5989000836123,384.3705598594988,0.8966855305185513,1.03e+03
43000,171.99999999996194,-466534.1794974287,74769.69419947074,-391764.48529795796,259.5603304045142,384.3705598594988,0.8966855305185513,1.03e+03
44000,175.99999999995262,-463366.3044974287,77203.31716137112,-386162.9873360576,268.008565840461,384.3705598594988,0.8966855305185513,1.03e+03
45000,179.9999999999433,-458649.4294974287,77823.57309768323,-380825.85639974545,270.1617622322375,384.3705598594988,0.8966855305185513,1.03e+03
46000,183.99999999993398,-454857.6794974287,79683.84329405974,-375173.83620336896,276.61962396328863,384.3705598594988,0.8966855305185513,1.03e+03
47000,187.99999999992465,-451233.6794974287,81433.20845668577,-369800.47104074294,282.6924828196857,384.3705598594988,0.8966855305185513,1.03e+03
48000,191.99999999991533,-449107.3044974287,83317.50444617379,-365789.8000512549,289.2337492358171,384.3705598594988,0.8966855305185513,1.03e+03
49000,195.999999999906,-445275.8044974287,84655.38378263563,-360620.4207147931,293.8781497022278,384.3705598594988,0.8966855305185513,1.03e+03
50000,199.9999999998967,-441286.5544974287,86786.67205580109,-354499.8824416276,301.2768410342302,384.3705598594988,0.8966855305185513,1.02e+03
51000,203.99999999988736,-442414.0544974287,87437.3322543833,-354976.7222430454,303.53558473959447,384.3705598594988,0.8966855305185513,1.02e+03
52000,207.99999999987804,-439524.27991336817,86357.51345279693,-353166.7664605712,299.7870322288802,384.3705598594988,0.8966855305185513,981
53000,211.99999999986872,-441398.8524010191,86988.85224298527,-354410.0001580338,301.9787023531594,384.3705598594988,0.8966855305185513,972
54000,215.9999999998594,-440878.15369168064,87207.73352405557,-353670.42016762507,302.7385409246855,384.3705598594988,0.8966855305185513,963
55000,219.99999999985008,-441178.31825265614,87027.90824481018,-354150.41000784596,302.11428387246997,384.3705598594988,0.8966855305185513,954
56000,223.99999999984075,-440209.8009817586,87122.34639770642,-353087.4545840522,302.44212255672545,384.3705598594988,0.8966855305185513,946
57000,227.99999999983143,-441093.60523789935,86863.63592445385,-354229.9693134455,301.54401836310126,384.3705598594988,0.8966855305185513,938
58000,231.9999999998221,-441903.9595142668,87137.914420791,-354766.04509347584,302.49616639439046,384.3705598594988,0.8966855305185513,931
59000,235.9999999998128,-441414.5611576536,86275.81412002898,-355138.7470376246,299.5034159049923,384.3705598594988,0.8966855305185513,924
60000,239.99999999980346,-441034.2263436881,86486.15858775403,-354548.0677559341,300.23361923303884,384.3705598594988,0.8966855305185513,917
61000,243.99999999979414,-441150.7097230111,87020.3596885706,-354130.3500344405,302.08807932833486,384.3705598594988,0.8966855305185513,910
62000,247.99999999978482,-442423.1449999893,86607.8847905522,-355815.2602094371,300.65618741063344,384.3705598594988,0.8966855305185513,904
63000,251.9999999997755,-441204.5648277295,86555.56221332273,-354649.00261440675,300.4745514473103,384.3705598594988,0.8966855305185513,897
64000,255.99999999976617,-440544.3133986485,86867.49188234482,-353676.8215163037,301.5574041835854,384.3705598594988,0.8966855305185513,891
65000,259.99999999978525,-441672.4239338422,86786.86782438948,-354885.55610945274,301.2775206379123,384.3705598594988,0.8966855305185513,885
66000,263.99999999980434,-441651.1163935354,86177.35256052142,-355473.76383301395,299.16161010798385,384.3705598594988,0.8966855305185513,880
67000,267.99999999982344,-442607.8117869408,86517.91741720695,-356089.89436973387,300.3438688783572,384.3705598594988,0.8966855305185513,875
68000,271.99999999984254,-441393.9624395799,86610.58568425942,-354783.37675532047,300.6655634669426,384.3705598594988,0.8966855305185513,870
69000,275.99999999986164,-441390.6320753419,87141.0076221535,-354249.6244531884,302.50690433275247,384.3705598594988,0.8966855305185513,865
70000,279.99999999988074,-442209.9889101167,87290.42078286735,-354919.56812724937,303.0255867986484,384.3705598594988,0.8966855305185513,860
71000,283.99999999989984,-441096.72547509475,86409.56665762782,-354687.15881746693,299.96773307551564,384.3705598594988,0.8966855305185513,855
72000,287.99999999991894,-440346.11297502415,87457.37193643753,-352888.7410385866,303.6051517821093,384.3705598594988,0.8966855305185513,851
73000,291.99999999993804,-440728.2097884412,86041.18421303076,-354687.02557541046,298.6889065394629,384.3705598594988,0.8966855305185513,847
74000,295.99999999995714,-440936.9374517496,85915.20319218282,-355021.73425956676,298.2515679125487,384.3705598594988,0.8966855305185513,843
75000,299.99999999997624,-441192.3336585392,86399.77691200073,-354792.5567465385,299.9337483222443,384.3705598594988,0.8966855305185513,839
76000,303.99999999999534,-440282.12438434316,86469.85146271897,-353812.2729216242,300.17700962927665,384.3705598594988,0.8966855305185513,835
77000,308.00000000001444,-440930.0101173301,86759.11389557132,-354170.8962217588,301.1811738625083,384.3705598594988,0.8966855305185513,832
78000,312.00000000003354,-442051.6612423728,87163.43337633857,-354888.22786603426,302.5847545396868,384.3705598594988,0.8966855305185513,828
79000,316.00000000005264,-441478.0808847244,86518.31951351574,-354959.76137120865,300.34526474137215,384.3705598594988,0.8966855305185513,825
80000,320.00000000007174,-442061.37499182206,86136.54436445213,-355924.8306273699,299.0199459087603,384.3705598594988,0.8966855305185513,822
81000,324.00000000009084,-442662.5340921921,86512.74956445524,-356149.78452773683,300.32592886158875,384.3705598594988,0.8966855305185513,819
82000,328.00000000010994,-440491.28848659433,86310.42645291239,-354180.86203368194,299.62357138583883,384.3705598594988,0.8966855305185513,816
83000,332.00000000012903,-441432.9216673905,86683.93752982287,-354748.98413756763,300.92020178630554,384.3705598594988,0.8966855305185513,813
84000,336.00000000014813,-440618.9927152265,86900.84156592986,-353718.1511492966,301.6731764223633,384.3705598594988,0.8966855305185513,811
85000,340.00000000016723,-440909.7246941235,86845.95030973617,-354063.7743843873,301.48262338150244,384.3705598594988,0.8966855305185513,809
86000,344.00000000018633,-441346.8654295942,86498.6878054848,-354848.1776241094,300.27711396614865,384.3705598594988,0.8966855305185513,806
87000,348.00000000020543,-442522.033327559,86705.35427740798,-355816.679050151,300.994549262765,384.3705598594988,0.8966855305185513,804
88000,352.00000000022453,-442629.94989081705,87485.22218619043,-355144.7277046266,303.7018329322077,384.3705598594988,0.8966855305185513,802
89000,356.00000000024363,-440206.7788191573,86051.3370182633,-354155.441800894,298.7241516412237,384.3705598594988,0.8966855305185513,800
90000,360.00000000026273,-442414.04282015935,86670.531450768,-355743.51136939134,300.87366306033954,384.3705598594988,0.8966855305185513,798
91000,364.00000000028183,-441827.3885297328,87268.8921619145,-354558.4963678183,302.9508509577773,384.3705598594988,0.8966855305185513,796
92000,368.00000000030093,-441316.9209105144,86826.53116511805,-354490.3897453964,301.4152105125958,384.3705598594988,0.8966855305185513,794
93000,372.00000000032003,-441812.2777017718,85577.78610060061,-356234.4916011712,297.08023649662016,384.3705598594988,0.8966855305185513,792
94000,376.0000000003391,-442915.2767749019,86109.4406152115,-356805.8361596904,298.92585620860274,384.3705598594988,0.8966855305185513,790
95000,380.0000000003582,-441793.2601156081,86400.95442553586,-355392.30569007224,299.937836018543,384.3705598594988,0.8966855305185513,788
96000,384.0000000003773,-441856.4582207268,86758.01393583359,-355098.4442848932,301.177355391455,384.3705598594988,0.8966855305185513,787
97000,388.0000000003964,-441672.130351475,86266.28618942318,-355405.8441620518,299.47034003324245,384.3705598594988,0.8966855305185513,785
98000,392.0000000004155,-441688.27950410405,86763.24591609044,-354925.0335880136,301.1955180245737,384.3705598594988,0.8966855305185513,783
99000,396.0000000004346,-440514.20570425736,86374.54333444929,-354139.66236980807,299.84615085649745,384.3705598594988,0.8966855305185513,782
100000,400.0000000004537,-441453.4911951665,87957.73905775812,-353495.75213740836,305.3421584226213,384.3705598594988,0.8966855305185513,780
101000,404.0000000004728,-440737.5013670726,87581.37206399627,-353156.1293030763,304.0356138085218,384.3705598594988,0.8966855305185513,779
102000,408.0000000004919,-441230.7598765255,86056.30750216902,-355174.45237435645,298.7414064990729,384.3705598594988,0.8966855305185513,777
103000,412.000000000511,-441855.28655776987,87242.95849995816,-354612.3280578117,302.8608231739532,384.3705598594988,0.8966855305185513,775
104000,416.0000000005301,-442142.1735717715,86011.64266259951,-356130.53090917197,298.5863540992972,384.3705598594988,0.8966855305185513,774
105000,420.0000000005492,-442303.21348767076,86081.3997601826,-356221.81372748816,298.8285133790773,384.3705598594988,0.8966855305185513,772
106000,424.0000000005683,-440896.96078825276,86087.817453839,-354809.14333441376,298.850792174032,384.3705598594988,0.8966855305185513,771
107000,428.0000000005874,-441796.0192426229,86262.18525400135,-355533.83398862154,299.4561037819852,384.3705598594988,0.8966855305185513,770
108000,432.0000000006065,-441253.1732567386,85950.35314514828,-355302.8201115903,298.37358972236217,384.3705598594988,0.8966855305185513,768
109000,436.0000000006256,-442246.2902866029,85877.48772209953,-356368.8025645034,298.12064000143454,384.3705598594988,0.8966855305185513,767
110000,440.0000000006447,-442627.98118686955,85987.39629298396,-356640.5848938856,298.5021836907393,384.3705598594988,0.8966855305185513,766
111000,444.0000000006638,-442132.158878678,86905.14685043809,-355227.0120282399,301.68812206419597,384.3705598594988,0.8966855305185513,765
112000,448.0000000006829,-441335.83511905745,86897.46804042964,-354438.3670786278,301.66146534874133,384.3705598594988,0.8966855305185513,763
113000,452.000000000702,-442262.5603926461,86413.0181537884,-355849.5422388577,299.9797148215081,384.3705598594988,0.8966855305185513,762
114000,456.0000000007211,-442140.79786225455,86926.6997371171,-355214.09812513745,301.76294214267125,384.3705598594988,0.8966855305185513,761
115000,460.0000000007402,-441584.8638607394,87080.65947256866,-354504.20438817074,302.2974078808377,384.3705598594988,0.8966855305185513,760
116000,464.0000000007593,-442154.6756533352,86423.24025855443,-355731.4353947807,300.0152004941313,384.3705598594988,0.8966855305185513,759
117000,468.0000000007784,-442058.76841221424,86268.37648586312,-355790.3919263511,299.4775964228854,384.3705598594988,0.8966855305185513,758
118000,472.0000000007975,-441819.38743699295,87171.32416633755,-354648.0632706554,302.6121471361287,384.3705598594988,0.8966855305185513,757
119000,476.0000000008166,-440961.7942660963,87278.36735311942,-353683.4269129769,302.9837437465753,384.3705598594988,0.8966855305185513,756
120000,480.0000000008357,-440690.1336216461,87198.65547855082,-353491.4781430953,302.70702681304084,384.3705598594988,0.8966855305185513,755
121000,484.0000000008548,-441354.9575010687,87358.00134540349,-353996.9561556652,303.26019031453296,384.3705598594988,0.8966855305185513,754
122000,488.0000000008739,-440803.27100995416,86048.91257883282,-354754.35843112133,298.7157352860901,384.3705598594988,0.8966855305185513,753
123000,492.000000000893,-441343.16123322025,87198.14546911337,-354145.0157641069,302.7052563334433,384.3705598594988,0.8966855305185513,752
124000,496.0000000009121,-442985.804160133,86327.52675189069,-356658.27740824234,299.6829344646951,384.3705598594988,0.8966855305185513,751
125000,500.0000000009312,-443278.98991024354,87018.08133477124,-356260.9085754723,302.08017010426653,384.3705598594988,0.8966855305185513,750
