#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899387.4699774897,6945.517606726413,-1892441.9523707633,7.116752723468983,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1897517.9699774897,11896.617997828147,-1885621.3519796615,12.189917775763634,1264.7681772367916,0.9234623645400899,182
3000,11.999999999999122,-1894217.4699774897,17759.427881403077,-1876458.0420960865,18.197269649107792,1264.7681772367916,0.9234623645400899,139
4000,15.999999999998682,-1891086.9699774897,23582.290215219666,-1867504.67976227,24.163689103928778,1264.7681772367916,0.9234623645400899,150
5000,20.000000000000018,-1887368.9699774897,29532.507278254445,-1857836.4626992352,30.2606030974336,1264.7681772367916,0.9234623645400899,156
6000,24.000000000001354,-1883944.9699774897,35259.57235300258,-1848685.397624487,36.12886350306925,1264.7681772367916,0.9234623645400899,160
7000,28.00000000000269,-1880328.9699774897,41261.73709425693,-1839067.2328832326,42.27900589528823,1264.7681772367916,0.9234623645400899,163
8000,32.00000000000402,-1876833.9699774897,46777.57538885103,-1830056.3945886386,47.93083192582777,1264.7681772367916,0.9234623645400899,165
9000,36.000000000001805,-1872846.9699774897,52812.640482018294,-1820034.3294954714,54.114685796778375,1264.7681772367916,0.9234623645400899,166
10000,39.99999999999959,-1869260.4699774897,58936.791049940606,-1810323.6789275492,60.38982145995574,1264.7681772367916,0.9234623645400899,167
11000,43.99999999999737,-1865370.9699774897,64674.49109173777,-1800696.478885752,66.26897902761671,1264.7681772367916,0.9234623645400899,167
12000,47.999999999995154,-1861305.4699774897,70777.25728102517,-1790528.2126964645,72.52220310068562,1264.7681772367916,0.9234623645400899,168
13000,51.99999999999294,-1857035.4699774897,76373.83536265155,-1780661.634614838,78.2567594807527,1264.7681772367916,0.9234623645400899,168
14000,55.99999999999072,-1853286.4699774897,82325.93988888152,-1770960.5300886082,84.35560747105885,1264.7681772367916,0.9234623645400899,168
15000,59.9999999999885,-1849276.9699774897,87895.12374668005,-1761381.8462308096,90.06209424881938,1264.7681772367916,0.9234623645400899,168
16000,63.99999999998629,-1844945.4699774897,94116.97667424088,-1750828.493303249,96.43734103019094,1264.7681772367916,0.9234623645400899,169
17000,67.99999999999118,-1840123.9699774897,99327.88415775195,-1740796.0858197378,101.7767184711332,1264.7681772367916,0.9234623645400899,169
18000,71.99999999999606,-1835943.9699774897,106224.15416979801,-1729719.8158076918,108.84300944741342,1264.7681772367916,0.9234623645400899,169
19000,76.00000000000095,-1830489.4699774897,111800.3212701453,-1718689.1487073444,114.55665163291192,1264.7681772367916,0.9234623645400899,169
20000,80.00000000000584,-1825983.4699774897,117409.77987016423,-1708573.6901073256,120.30440608827598,1264.7681772367916,0.9234623645400899,169
21000,84.00000000001073,-1821380.4699774897,122683.41491105521,-1698697.0550664344,125.70805757473902,1264.7681772367916,0.9234623645400899,169
22000,88.00000000001562,-1816159.9699774897,129607.63719190315,-1686552.3327855866,132.80298995636682,1264.7681772367916,0.9234623645400899,169
23000,92.0000000000205,-1810559.4699774897,134854.55166580164,-1675704.9183116881,138.17926210572583,1264.7681772367916,0.9234623645400899,169
24000,96.0000000000254,-1804613.4699774897,140721.27220881003,-1663892.1977686796,144.19062105208445,1264.7681772367916,0.9234623645400899,169
25000,100.00000000003028,-1799799.4699774897,146917.9474549197,-1652881.52252257,150.5400694202658,1264.7681772367916,0.9234623645400899,169
26000,104.00000000003517,-1793865.9699774897,152496.82860436518,-1641369.1413731244,156.25649256715627,1264.7681772367916,0.9234623645400899,169
27000,108.00000000004006,-1788066.9699774897,158382.16274175214,-1629684.8072357376,162.28692400832207,1264.7681772367916,0.9234623645400899,168
28000,112.00000000004495,-1780880.9699774897,164101.0193500671,-1616779.9506274227,168.1467735756082,1264.7681772367916,0.9234623645400899,168
29000,116.00000000004984,-1773371.4699774897,169493.64329575497,-1603877.8266817348,173.67234752490623,1264.7681772367916,0.9234623645400899,168
30000,120.00000000005473,-1765540.4699774897,176632.36651031877,-1588908.1034671708,180.98706915632738,1264.7681772367916,0.9234623645400899,168
31000,124.00000000005961,-1757935.9699774897,182664.25978353433,-1575271.7101939553,187.1676730091285,1264.7681772367916,0.9234623645400899,168
32000,128.0000000000645,-1749219.9699774897,186377.1342410365,-1562842.835736453,190.97208484759776,1264.7681772367916,0.9234623645400899,167
33000,132.00000000005517,-1737828.9699774897,193067.10840114538,-1544761.8615763444,197.82699394433422,1264.7681772367916,0.9234623645400899,167
34000,136.00000000004584,-1729056.9699774897,199047.41237207546,-1530009.5576054142,203.95473660977234,1264.7681772367916,0.9234623645400899,167
35000,140.00000000003652,-1717708.9699774897,204001.35409177002,-1513707.6158857197,209.03081304090816,1264.7681772367916,0.9234623645400899,167
36000,144.0000000000272,-1702964.9699774897,211542.68983965728,-1491422.2801378323,216.75807323392732,1264.7681772367916,0.9234623645400899,166
37000,148.00000000001788,-1689159.4699774897,215668.31151532958,-1473491.15846216,220.9854081798367,1264.7681772367916,0.9234623645400899,166
38000,152.00000000000855,-1672323.9699774897,221333.1377332824,-1450990.8322442072,226.7898952889833,1264.7681772367916,0.9234623645400899,166
39000,155.99999999999923,-1655442.9699774897,227575.8378327386,-1427867.132144751,233.1865032094036,1264.7681772367916,0.9234623645400899,166
40000,159.9999999999899,-1636596.9699774897,234258.63627868527,-1402338.3336988045,240.03405968158444,1264.7681772367916,0.9234623645400899,166
41000,163.9999999999806,-1620967.9699774897,239487.13930517455,-1381480.830672315,245.39146646684654,1264.7681772367916,0.9234623645400899,166
42000,167.99999999997127,-1606544.4699774897,245623.6903806571,-1360920.7795968326,251.67930836027895,1264.7681772367916,0.9234623645400899,166
43000,171.99999999996194,-1591676.9699774897,251198.9593580149,-1340478.0106194748,257.3920302804217,1264.7681772367916,0.9234623645400899,165
44000,175.99999999995262,-1582312.4699774897,257596.8484778923,-1324715.6214995973,263.94765325864927,1264.7681772367916,0.9234623645400899,165
45000,179.9999999999433,-1564669.9699774897,264235.6157835591,-1300434.3541939305,270.7500930447532,1264.7681772367916,0.9234623645400899,165
46000,183.99999999993398,-1554604.9699774897,268410.6607524984,-1286194.3092249911,275.0280697681193,1264.7681772367916,0.9234623645400899,165
47000,187.99999999992465,-1541586.4699774897,275563.3088792332,-1266023.1610982565,282.357059617149,1264.7681772367916,0.9234623645400899,165
48000,191.99999999991533,-1532474.9699774897,281103.8271194069,-1251371.142858083,288.0341740538036,1264.7681772367916,0.9234623645400899,164
49000,195.999999999906,-1519320.4699774897,288419.3288309317,-1230901.1411465579,295.5300324875388,1264.7681772367916,0.9234623645400899,164
50000,199.9999999998967,-1507100.9699774897,293846.40891352785,-1213254.5610639618,301.09091205696006,1264.7681772367916,0.9234623645400899,164
51000,203.99999999988736,-1506396.4699774897,293944.17677366175,-1212452.293203828,301.1910902905019,1264.7681772367916,0.9234623645400899,164
52000,207.99999999987804,-1507378.3456192557,294574.2499329938,-1212804.095686262,301.8366973030474,1264.7681772367916,0.9234623645400899,161
53000,211.99999999986872,-1506240.1300161807,294281.0484966672,-1211959.0815195134,301.53626726476176,1264.7681772367916,0.9234623645400899,160
54000,215.9999999998594,-1508610.542127126,292801.6690362174,-1215808.8730909084,300.02041511372784,1264.7681772367916,0.9234623645400899,160
55000,219.99999999985008,-1507402.8639446143,295305.26235868945,-1212097.6015859249,302.58573214336235,1264.7681772367916,0.9234623645400899,159
56000,223.99999999984075,-1506707.7273594718,291581.3410196046,-1215126.3863398673,298.77000107297386,1264.7681772367916,0.9234623645400899,159
57000,227.99999999983143,-1507662.9659815663,291749.9574085418,-1215913.0085730245,298.94277453827016,1264.7681772367916,0.9234623645400899,159
58000,231.9999999998221,-1506888.3134968998,293647.7746091997,-1213240.5388877,300.8873806131793,1264.7681772367916,0.9234623645400899,158
59000,235.9999999998128,-1504466.7789792782,294484.710964804,-1209982.0680144741,301.74495083693745,1264.7681772367916,0.9234623645400899,158
60000,239.99999999980346,-1503729.8443900663,292921.50470949366,-1210808.3396805727,300.143205221312,1264.7681772367916,0.9234623645400899,158
61000,243.99999999979414,-1504746.2796398895,293934.60721298173,-1210811.6724269078,301.18128480142417,1264.7681772367916,0.9234623645400899,158
62000,247.99999999978482,-1504387.5872976026,294451.6288880467,-1209935.9584095557,301.71105315310865,1264.7681772367916,0.9234623645400899,157
63000,251.9999999997755,-1504928.205070692,295229.24637139833,-1209698.958699294,302.50784205435633,1264.7681772367916,0.9234623645400899,157
64000,255.99999999976617,-1504989.6022415003,293494.7747756756,-1211494.8274658248,300.7306087145855,1264.7681772367916,0.9234623645400899,157
65000,259.99999999978525,-1506659.0082166623,294210.52628126973,-1212448.4819353926,301.46400639135925,1264.7681772367916,0.9234623645400899,157
66000,263.99999999980434,-1508225.4862895152,294550.0667691973,-1213675.4195203178,301.81191792639675,1264.7681772367916,0.9234623645400899,156
67000,267.99999999982344,-1506640.1875305045,294112.0499035746,-1212528.13762693,301.3631021724309,1264.7681772367916,0.9234623645400899,156
