#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1035572.3038530508,3838.1906054198334,-1031734.113247631,7.1881195125692505,699.0960787600101,0.9137370956361403,0
2000,7.999999999999562,-1034832.5538530508,6541.852096204042,-1028290.7017568467,12.251505861815515,699.0960787600101,0.9137370956361403,537
3000,11.999999999999122,-1032891.3038530508,9750.225018086614,-1023141.0788349642,18.260110012640464,699.0960787600101,0.9137370956361403,432
4000,15.999999999998682,-1030719.5538530508,13008.869784643412,-1017710.6840684074,24.362862699790156,699.0960787600101,0.9137370956361403,459
5000,20.000000000000018,-1028768.5538530508,16092.131321363006,-1012676.4225316878,30.137159677942474,699.0960787600101,0.9137370956361403,490
6000,24.000000000001354,-1026717.0538530508,19398.358794367516,-1007318.6950586833,36.32902471407105,699.0960787600101,0.9137370956361403,488
7000,28.00000000000269,-1024618.0538530508,22583.849020178888,-1002034.2048328719,42.29477441314019,699.0960787600101,0.9137370956361403,506
8000,32.00000000000402,-1022807.8038530508,25750.821655798907,-997056.9821972519,48.22584458087175,699.0960787600101,0.9137370956361403,503
9000,36.000000000001805,-1020476.0538530508,28917.962258926822,-991558.091594124,54.157229316232986,699.0960787600101,0.9137370956361403,515
10000,39.99999999999959,-1018732.0538530508,32049.43653803525,-986682.6173150155,60.02181856747625,699.0960787600101,0.9137370956361403,510
11000,43.99999999999737,-1016222.0538530508,35414.25150309544,-980807.8023499553,66.3234055893351,699.0960787600101,0.9137370956361403,519
12000,47.999999999995154,-1013886.0538530508,38788.673743499276,-975097.3801095515,72.64298500668956,699.0960787600101,0.9137370956361403,514
13000,51.99999999999294,-1011602.3038530508,41663.37693923197,-969938.9269138188,78.02669630672571,699.0960787600101,0.9137370956361403,521
14000,55.99999999999072,-1009632.0538530508,45239.013533587684,-964393.0403194631,84.72310766718591,699.0960787600101,0.9137370956361403,517
15000,59.9999999999885,-1007178.0538530508,48200.45643265384,-958977.597420397,90.26926409258017,699.0960787600101,0.9137370956361403,522
