#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899831.4699774897,7012.366500140874,-1892819.1034773488,7.185249712636143,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1897961.4699774897,11850.620134496361,-1886110.8498429933,12.142785878952486,1264.7681772367916,0.9234623645400899,332
3000,11.999999999999122,-1894579.9699774897,17764.907855014597,-1876815.0621224751,18.20288472624568,1264.7681772367916,0.9234623645400899,240
4000,15.999999999998682,-1891428.9699774897,23668.42991585774,-1867760.540061632,24.251952496785364,1264.7681772367916,0.9234623645400899,263
5000,20.000000000000018,-1887435.9699774897,29704.49921364488,-1857731.470763845,30.436835330063627,1264.7681772367916,0.9234623645400899,276
6000,24.000000000001354,-1884136.4699774897,35407.32168208279,-1848729.148295407,36.280255451036375,1264.7681772367916,0.9234623645400899,284
7000,28.00000000000269,-1880669.9699774897,41327.343820139715,-1839342.62615735,42.34623009246714,1264.7681772367916,0.9234623645400899,290
8000,32.00000000000402,-1876951.9699774897,46849.23960912337,-1830102.7303683662,48.00426295914695,1264.7681772367916,0.9234623645400899,293
9000,36.000000000001805,-1873214.9699774897,53019.413833353356,-1820195.5561441362,54.32655694801259,1264.7681772367916,0.9234623645400899,296
10000,39.99999999999959,-1868996.4699774897,58779.77881254669,-1810216.691164943,60.228938235499015,1264.7681772367916,0.9234623645400899,298
11000,43.99999999999737,-1864955.4699774897,65067.92222583757,-1799887.547751652,66.67210983134409,1264.7681772367916,0.9234623645400899,299
12000,47.999999999995154,-1860773.4699774897,70434.02324372399,-1790339.4467337658,72.17050695533501,1264.7681772367916,0.9234623645400899,300
13000,51.99999999999294,-1856815.9699774897,75950.88808505386,-1780865.081892436,77.82338484114167,1264.7681772367916,0.9234623645400899,301
14000,55.99999999999072,-1853084.9699774897,82131.02242564097,-1770953.9475518486,84.15588450354014,1264.7681772367916,0.9234623645400899,301
15000,59.9999999999885,-1848910.4699774897,88169.08352600478,-1760741.3864514849,90.3428082453892,1264.7681772367916,0.9234623645400899,301
16000,63.99999999998629,-1844347.4699774897,94155.03285676843,-1750192.4371207212,96.47633545162691,1264.7681772367916,0.9234623645400899,301
17000,67.99999999999118,-1840548.9699774897,100007.8077304174,-1740541.1622470722,102.47340491143986,1264.7681772367916,0.9234623645400899,301
18000,71.99999999999606,-1835625.4699774897,105982.53365162906,-1729642.9363258607,108.59543200566024,1264.7681772367916,0.9234623645400899,302
19000,76.00000000000095,-1831199.9699774897,111957.76033331332,-1719242.2096441763,114.7179722061254,1264.7681772367916,0.9234623645400899,302
20000,80.00000000000584,-1825778.9699774897,117383.24670815398,-1708395.7232693357,120.27721877644542,1264.7681772367916,0.9234623645400899,302
21000,84.00000000001073,-1821217.9699774897,123037.33019335706,-1698180.6397841326,126.07069830100536,1264.7681772367916,0.9234623645400899,301
22000,88.00000000001562,-1816539.9699774897,128908.63389783942,-1687631.3360796503,132.08675340231588,1264.7681772367916,0.9234623645400899,301
23000,92.0000000000205,-1811268.9699774897,134684.3317601849,-1676584.6382173048,138.0048455905746,1264.7681772367916,0.9234623645400899,301
24000,96.0000000000254,-1805676.4699774897,141269.01176839083,-1664407.4582090988,144.75186460845,1264.7681772367916,0.9234623645400899,301
25000,100.00000000003028,-1800745.9699774897,146750.16454986064,-1653995.805427629,150.36814998759831,1264.7681772367916,0.9234623645400899,301
26000,104.00000000003517,-1793845.4699774897,152483.16064910666,-1641362.309328383,156.24248764148794,1264.7681772367916,0.9234623645400899,301
27000,108.00000000004006,-1785715.9699774897,158758.19703225672,-1626957.772945233,162.6722290658565,1264.7681772367916,0.9234623645400899,300
28000,112.00000000004495,-1779026.4699774897,163691.45642386115,-1615335.0135536285,167.7271132658157,1264.7681772367916,0.9234623645400899,300
29000,116.00000000004984,-1771945.4699774897,169732.72002719273,-1602212.749950297,173.91731846529086,1264.7681772367916,0.9234623645400899,300
30000,120.00000000005473,-1764814.9699774897,174651.05266417345,-1590163.9173133161,178.95690790571794,1264.7681772367916,0.9234623645400899,299
31000,124.00000000005961,-1757383.4699774897,181429.3912591397,-1575954.07871835,185.902359978232,1264.7681772367916,0.9234623645400899,298
32000,128.0000000000645,-1749668.4699774897,186902.92966248386,-1562765.540315006,191.51084325401936,1264.7681772367916,0.9234623645400899,298
33000,132.00000000005517,-1738497.9699774897,193430.1033082765,-1545067.8666692132,198.19893814492613,1264.7681772367916,0.9234623645400899,298
34000,136.00000000004584,-1729000.4699774897,198287.6475858558,-1530712.8223916339,203.1762405468888,1264.7681772367916,0.9234623645400899,297
35000,140.00000000003652,-1715552.9699774897,205262.62853350557,-1510290.341443984,210.32318300186978,1264.7681772367916,0.9234623645400899,297
36000,144.0000000000272,-1700845.4699774897,209200.96982328204,-1491644.5001542077,214.35862034246813,1264.7681772367916,0.9234623645400899,296
37000,148.00000000001788,-1685873.4699774897,215832.1298062897,-1470041.3401712,221.1532652546234,1264.7681772367916,0.9234623645400899,296
38000,152.00000000000855,-1670465.9699774897,222149.80037248423,-1448316.1696050055,227.62669196718426,1264.7681772367916,0.9234623645400899,295
39000,155.99999999999923,-1654247.4699774897,226036.11004604388,-1428211.3599314457,231.60881490165988,1264.7681772367916,0.9234623645400899,295
40000,159.9999999999899,-1636537.4699774897,234075.55871375866,-1402461.911263731,239.84646851378784,1264.7681772367916,0.9234623645400899,295
41000,163.9999999999806,-1621433.9699774897,240247.15995748856,-1381186.8100200011,246.17022470395906,1264.7681772367916,0.9234623645400899,294
42000,167.99999999997127,-1604113.4699774897,245376.22308574893,-1358737.2468917407,251.42573999507871,1264.7681772367916,0.9234623645400899,294
43000,171.99999999996194,-1592650.4699774897,252724.97316818748,-1339925.4968093021,258.9556665066231,1264.7681772367916,0.9234623645400899,294
44000,175.99999999995262,-1577918.9699774897,256645.926942573,-1321273.0430349167,262.97328765921077,1264.7681772367916,0.9234623645400899,293
45000,179.9999999999433,-1564795.9699774897,264074.1204652054,-1300721.8495122842,270.5846162132485,1264.7681772367916,0.9234623645400899,293
46000,183.99999999993398,-1554611.9699774897,269988.50336487393,-1284623.4666126156,276.64481258624323,1264.7681772367916,0.9234623645400899,293
47000,187.99999999992465,-1542225.4699774897,275217.51723801554,-1267007.9527394741,282.00274281259505,1264.7681772367916,0.9234623645400899,292
48000,191.99999999991533,-1529118.4699774897,283506.64156003797,-1245611.8284174516,290.4962275943189,1264.7681772367916,0.9234623645400899,292
