#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899495.9699774897,7073.936189525845,-1892422.033787964,7.2483373440301335,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898674.9699774897,12040.735478033046,-1886634.2344994566,12.337588335082986,1264.7681772367916,0.9234623645400899,326
3000,11.999999999999122,-1894931.9699774897,17575.63095146183,-1877356.3390260278,18.008941381037772,1264.7681772367916,0.9234623645400899,238
4000,15.999999999998682,-1891161.4699774897,23511.3110829246,-1867650.158894565,24.09096004877799,1264.7681772367916,0.9234623645400899,261
5000,20.000000000000018,-1887510.9699774897,29467.971786323134,-1858042.9981911664,30.19447654445823,1264.7681772367916,0.9234623645400899,274
6000,24.000000000001354,-1884274.9699774897,35451.851575234905,-1848823.1184022548,36.32588318626222,1264.7681772367916,0.9234623645400899,281
7000,28.00000000000269,-1880397.9699774897,41236.686357612954,-1839161.2836198767,42.253337556608436,1264.7681772367916,0.9234623645400899,287
8000,32.00000000000402,-1876952.9699774897,47064.57220000815,-1829888.3977774815,48.224904369824074,1264.7681772367916,0.9234623645400899,290
9000,36.000000000001805,-1872893.9699774897,52935.49703373871,-1819958.472943751,54.240571259685495,1264.7681772367916,0.9234623645400899,293
10000,39.99999999999959,-1869566.9699774897,58741.96627324357,-1810825.0037042461,60.19019346407894,1264.7681772367916,0.9234623645400899,295
11000,43.99999999999737,-1865747.9699774897,64577.90759749929,-1801170.0623799905,66.17001435938259,1264.7681772367916,0.9234623645400899,297
12000,47.999999999995154,-1861479.9699774897,70714.81099172903,-1790765.1589857605,72.45821725764515,1264.7681772367916,0.9234623645400899,298
13000,51.99999999999294,-1857460.9699774897,76831.02824165311,-1780629.9417358367,78.72522401443037,1264.7681772367916,0.9234623645400899,299
14000,55.99999999999072,-1853770.9699774897,82396.50120689676,-1771374.468770593,84.42790841111697,1264.7681772367916,0.9234623645400899,299
15000,59.9999999999885,-1849131.9699774897,88265.66209759722,-1760866.3078798924,90.44176786961411,1264.7681772367916,0.9234623645400899,300
16000,63.99999999998629,-1844994.9699774897,94526.54502744829,-1750468.4249500413,96.85700690078244,1264.7681772367916,0.9234623645400899,300
17000,67.99999999999118,-1840440.4699774897,99769.89532154653,-1740670.574655943,102.22962699888528,1264.7681772367916,0.9234623645400899,301
18000,71.99999999999606,-1834946.4699774897,105414.72860088764,-1729531.741376602,108.01362826257422,1264.7681772367916,0.9234623645400899,301
19000,76.00000000000095,-1830686.9699774897,111487.85735306001,-1719199.1126244296,114.23648421576378,1264.7681772367916,0.9234623645400899,301
20000,80.00000000000584,-1826282.9699774897,117858.34111678886,-1708424.6288607009,120.76402618490735,1264.7681772367916,0.9234623645400899,301
21000,84.00000000001073,-1821170.9699774897,122553.65111992421,-1698617.3188575655,125.57509458101701,1264.7681772367916,0.9234623645400899,301
22000,88.00000000001562,-1815317.9699774897,129704.45587435289,-1685613.5141031367,132.9021956111534,1264.7681772367916,0.9234623645400899,301
23000,92.0000000000205,-1810018.9699774897,135733.0922578736,-1674285.877719616,139.07946227874834,1264.7681772367916,0.9234623645400899,301
24000,96.0000000000254,-1804602.9699774897,141030.57482455228,-1663572.3951529374,144.50754922901805,1264.7681772367916,0.9234623645400899,301
25000,100.00000000003028,-1799001.9699774897,146793.17253800138,-1652208.7974394883,150.41221829669527,1264.7681772367916,0.9234623645400899,301
26000,104.00000000003517,-1793165.9699774897,152996.24950513526,-1640169.7204723544,156.7682262142311,1264.7681772367916,0.9234623645400899,301
27000,108.00000000004006,-1786384.9699774897,158416.74432207466,-1627968.225655415,162.32235816454735,1264.7681772367916,0.9234623645400899,300
28000,112.00000000004495,-1780702.9699774897,164885.46290421294,-1615817.5070732767,168.95055683791952,1264.7681772367916,0.9234623645400899,300
29000,116.00000000004984,-1773891.4699774897,170202.9222614484,-1603688.5477160413,174.39911308747705,1264.7681772367916,0.9234623645400899,300
30000,120.00000000005473,-1764568.9699774897,175425.62881318905,-1589143.3411643007,179.75058049143024,1264.7681772367916,0.9234623645400899,299
31000,124.00000000005961,-1757900.9699774897,182027.312172411,-1575873.6578050787,186.51502206173487,1264.7681772367916,0.9234623645400899,299
32000,128.0000000000645,-1747737.9699774897,187478.83096601884,-1560259.1390114708,192.10094285529496,1264.7681772367916,0.9234623645400899,298
33000,132.00000000005517,-1739510.4699774897,194654.87075378094,-1544855.5992237087,199.45390106445979,1264.7681772367916,0.9234623645400899,298
34000,136.00000000004584,-1727694.9699774897,199785.8274256475,-1527909.1425518421,204.71135658269844,1264.7681772367916,0.9234623645400899,298
35000,140.00000000003652,-1715493.4699774897,204405.46238768034,-1511088.0075898094,209.44488424169396,1264.7681772367916,0.9234623645400899,297
36000,144.0000000000272,-1701207.4699774897,210789.63181935006,-1490417.8381581395,215.9864492858775,1264.7681772367916,0.9234623645400899,297
37000,148.00000000001788,-1687682.9699774897,215349.01746144833,-1472333.9525160412,220.6582422353798,1264.7681772367916,0.9234623645400899,297
38000,152.00000000000855,-1670792.4699774897,221973.0715182405,-1448819.3984592492,227.44560603148142,1264.7681772367916,0.9234623645400899,296
39000,155.99999999999923,-1652034.9699774897,228965.9870786841,-1423068.9828988055,234.61092526004097,1264.7681772367916,0.9234623645400899,296
40000,159.9999999999899,-1636634.9699774897,235216.4737251723,-1401418.4962523174,241.01551169738894,1264.7681772367916,0.9234623645400899,296
41000,163.9999999999806,-1622446.9699774897,239205.4590788171,-1383241.5108986725,245.10284168298085,1264.7681772367916,0.9234623645400899,295
42000,167.99999999997127,-1604620.4699774897,246290.12059732038,-1358330.3493801693,252.3621687787519,1264.7681772367916,0.9234623645400899,295
43000,171.99999999996194,-1592173.4699774897,250753.108121958,-1341420.3618555316,256.9351870070857,1264.7681772367916,0.9234623645400899,295
44000,175.99999999995262,-1578267.9699774897,257603.63782620477,-1320664.332151285,263.95460999187344,1264.7681772367916,0.9234623645400899,295
