#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2214454.3994592614,8234.173379343792,-2206220.2260799175,7.268175507137588,1469.6758349794372,0.9228081988695219,0
2000,7.999999999999562,-2213121.8994592614,14031.254439158807,-2199090.6450201026,12.38516790342795,1469.6758349794372,0.9228081988695219,158
3000,11.999999999999122,-2209210.3994592614,20576.50096187878,-2188633.8984973826,18.16255420233072,1469.6758349794372,0.9228081988695219,114
4000,15.999999999998682,-2205139.8994592614,27324.328016934407,-2177815.571442327,24.118755155177816,1469.6758349794372,0.9228081988695219,126
5000,20.000000000000018,-2201152.3994592614,34305.34212310576,-2166847.057336156,30.280786655357396,1469.6758349794372,0.9228081988695219,132
6000,24.000000000001354,-2197343.8994592614,40908.94314548021,-2156434.9563137814,36.10968155452647,1469.6758349794372,0.9228081988695219,136
7000,28.00000000000269,-2193526.3994592614,47868.85554342953,-2145657.543915832,42.25308690830465,1469.6758349794372,0.9228081988695219,139
8000,32.00000000000402,-2189134.3994592614,54749.5295896007,-2134384.8698696606,48.32654981357129,1469.6758349794372,0.9228081988695219,141
9000,36.000000000001805,-2184977.3994592614,61280.115979671944,-2123697.2834795895,54.090995843652884,1469.6758349794372,0.9228081988695219,142
10000,39.99999999999959,-2180265.8994592614,68149.95065490763,-2112115.948804354,60.154891006449624,1469.6758349794372,0.9228081988695219,143
11000,43.99999999999737,-2175525.3994592614,74771.51827107205,-2100753.8811881896,65.9996447357544,1469.6758349794372,0.9228081988695219,144
12000,47.999999999995154,-2170760.3994592614,82102.28359159846,-2088658.115867663,72.47039613927535,1469.6758349794372,0.9228081988695219,144
13000,51.99999999999294,-2166079.8994592614,88442.56885308173,-2077637.3306061798,78.06686635222714,1469.6758349794372,0.9228081988695219,145
14000,55.99999999999072,-2160998.8994592614,95603.06320455114,-2065395.8362547103,84.38732224582098,1469.6758349794372,0.9228081988695219,145
15000,59.9999999999885,-2156119.3994592614,102300.58785311988,-2053818.8116061415,90.29912205456596,1469.6758349794372,0.9228081988695219,145
16000,63.99999999998629,-2151532.8994592614,109639.66910533831,-2041893.230353923,96.77721380037246,1469.6758349794372,0.9228081988695219,145
17000,67.99999999999118,-2145520.3994592614,116383.02956556725,-2029137.3698936943,102.7294721601232,1469.6758349794372,0.9228081988695219,146
18000,71.99999999999606,-2140638.3994592614,122896.18722059144,-2017742.21223867,108.47853411953326,1469.6758349794372,0.9228081988695219,146
19000,76.00000000000095,-2134369.8994592614,129854.4818350054,-2004515.417624256,114.62051148119544,1469.6758349794372,0.9228081988695219,146
20000,80.00000000000584,-2128644.8994592614,136378.39190529144,-1992266.50755397,120.37906442866812,1469.6758349794372,0.9228081988695219,146
21000,84.00000000001073,-2123511.3994592614,142760.70958535146,-1980750.68987391,126.0126359972911,1469.6758349794372,0.9228081988695219,146
22000,88.00000000001562,-2117170.8994592614,150421.82519650998,-1966749.0742627515,132.774982413515,1469.6758349794372,0.9228081988695219,146
23000,92.0000000000205,-2111879.8994592614,156279.23559983843,-1955600.663859423,137.94522657372693,1469.6758349794372,0.9228081988695219,146
24000,96.0000000000254,-2104580.8994592614,163808.24405577112,-1940772.6554034904,144.59096407905048,1469.6758349794372,0.9228081988695219,146
25000,100.00000000003028,-2097195.8994592614,170245.5897192426,-1926950.3097400188,150.27310798430187,1469.6758349794372,0.9228081988695219,146
26000,104.00000000003517,-2090345.3994592614,175887.20991827382,-1914458.1895409876,155.25287752061436,1469.6758349794372,0.9228081988695219,146
27000,108.00000000004006,-2083671.3994592614,184013.07116482873,-1899658.3282944327,162.4254476094064,1469.6758349794372,0.9228081988695219,146
28000,112.00000000004495,-2076316.3994592614,191184.17857678133,-1885132.22088248,168.75527148478858,1469.6758349794372,0.9228081988695219,146
29000,116.00000000004984,-2067687.3994592614,197624.4967255473,-1870062.902733714,174.44003915612038,1469.6758349794372,0.9228081988695219,145
30000,120.00000000005473,-2058979.3994592614,204362.62203887932,-1854616.777420382,180.38767653393407,1469.6758349794372,0.9228081988695219,145
31000,124.00000000005961,-2050360.3994592614,212152.83988633813,-1838207.5595729232,187.26397946632125,1469.6758349794372,0.9228081988695219,145
32000,128.0000000000645,-2038980.3994592614,217715.83241477548,-1821264.567044486,192.17434559281153,1469.6758349794372,0.9228081988695219,145
33000,132.00000000005517,-2027336.3994592614,224925.08827741083,-1802411.3111818507,198.53784250641067,1469.6758349794372,0.9228081988695219,145
34000,136.00000000004584,-2014042.3994592614,231179.46110716852,-1782862.9383520929,204.0584791653116,1469.6758349794372,0.9228081988695219,144
35000,140.00000000003652,-1999159.8994592614,237285.87047925917,-1761874.0289800023,209.44851080420355,1469.6758349794372,0.9228081988695219,144
36000,144.0000000000272,-1985363.8994592614,243516.1880927169,-1741847.7113665445,214.9479143015137,1469.6758349794372,0.9228081988695219,144
37000,148.00000000001788,-1967357.3994592614,250486.90817015755,-1716870.4912891039,221.1008594242218,1469.6758349794372,0.9228081988695219,144
38000,152.00000000000855,-1949258.3994592614,257496.24812371272,-1691762.1513355486,227.28789370497077,1469.6758349794372,0.9228081988695219,144
39000,155.99999999999923,-1930754.3994592614,265229.92271444714,-1665524.4767448143,234.1142867927767,1469.6758349794372,0.9228081988695219,144
40000,159.9999999999899,-1913508.3994592614,271222.94990748056,-1642285.449551781,239.40423776311764,1469.6758349794372,0.9228081988695219,143
41000,163.9999999999806,-1899248.3994592614,279924.4355316672,-1619323.9639275942,247.0849024486678,1469.6758349794372,0.9228081988695219,143
42000,167.99999999997127,-1881600.3994592614,284526.8284031077,-1597073.5710561536,251.1473623461414,1469.6758349794372,0.9228081988695219,143
43000,171.99999999996194,-1866547.3994592614,291588.1192169763,-1574959.2802422852,257.3802528352927,1469.6758349794372,0.9228081988695219,143
44000,175.99999999995262,-1850187.8994592614,299154.0381110011,-1551033.8613482604,264.058570604565,1469.6758349794372,0.9228081988695219,143
45000,179.9999999999433,-1836429.3994592614,305904.48696768057,-1530524.912491581,270.0170857805246,1469.6758349794372,0.9228081988695219,142
46000,183.99999999993398,-1822087.3994592614,312613.8941796348,-1509473.5052796267,275.9393741413296,1469.6758349794372,0.9228081988695219,142
47000,187.99999999992465,-1806983.3994592614,320219.9625670999,-1486763.4368921616,282.65313123783045,1469.6758349794372,0.9228081988695219,142
48000,191.99999999991533,-1793984.3994592614,328200.223531199,-1465784.1759280625,289.6971822442538,1469.6758349794372,0.9228081988695219,142
49000,195.999999999906,-1779760.3994592614,334490.6041053671,-1445269.7953538944,295.24960237356936,1469.6758349794372,0.9228081988695219,142
50000,199.9999999998967,-1765191.3994592614,340914.34366106277,-1424277.0557981986,300.9197363811993,1469.6758349794372,0.9228081988695219,141
51000,203.99999999988736,-1763310.3994592614,341495.30354731716,-1421815.0959119443,301.43254054761337,1469.6758349794372,0.9228081988695219,141
52000,207.99999999987804,-1765133.2448231094,342437.85256696126,-1422695.3922561482,302.2645137625616,1469.6758349794372,0.9228081988695219,122
53000,211.99999999986872,-1761783.2310164962,341130.5453617224,-1420652.6856547738,301.1105742264744,1469.6758349794372,0.9228081988695219,121
54000,215.9999999998594,-1762275.4437925406,339752.042110877,-1422523.4016816635,299.8937910592122,1469.6758349794372,0.9228081988695219,119
55000,219.99999999985008,-1760684.8618121557,340613.77596980275,-1420071.0858423528,300.6544300011644,1469.6758349794372,0.9228081988695219,118
56000,223.99999999984075,-1760727.6945135687,339372.8320857274,-1421354.8624278412,299.5590683262944,1469.6758349794372,0.9228081988695219,117
57000,227.99999999983143,-1760530.2330117617,340143.053381518,-1420387.1796302437,300.2389305661622,1469.6758349794372,0.9228081988695219,116
58000,231.9999999998221,-1762316.1927670687,340098.7949952502,-1422217.3977718186,300.19986438377356,1469.6758349794372,0.9228081988695219,115
59000,235.9999999998128,-1760550.3736331128,340229.0758631991,-1420321.2977699137,300.31486125958025,1469.6758349794372,0.9228081988695219,114
60000,239.99999999980346,-1758481.2281974629,341489.32197246485,-1416991.906224998,301.42726070544427,1469.6758349794372,0.9228081988695219,113
61000,243.99999999979414,-1761993.6503534596,341766.849588462,-1420226.8007649977,301.67222997293686,1469.6758349794372,0.9228081988695219,112
62000,247.99999999978482,-1760887.5436819717,340602.8389925871,-1420284.7046893847,300.64477610316413,1469.6758349794372,0.9228081988695219,111
63000,251.9999999997755,-1759701.156315688,341525.7821095456,-1418175.3742061425,301.45944349576325,1469.6758349794372,0.9228081988695219,110
64000,255.99999999976617,-1760500.5511825625,340680.5117744481,-1419820.0394081143,300.7133366477003,1469.6758349794372,0.9228081988695219,109
65000,259.99999999978525,-1757976.8058360312,341725.5975176258,-1416251.2083184053,301.63581741795923,1469.6758349794372,0.9228081988695219,109
66000,263.99999999980434,-1759727.5363178123,342537.171205339,-1417190.3651124733,302.35218076465196,1469.6758349794372,0.9228081988695219,108
67000,267.99999999982344,-1762810.3365824074,341377.9672728454,-1421432.369309562,301.32896966114726,1469.6758349794372,0.9228081988695219,107
68000,271.99999999984254,-1760481.6214236561,340276.5621629543,-1420205.0592607018,300.3567766705031,1469.6758349794372,0.9228081988695219,106
69000,275.99999999986164,-1759363.659221774,339938.30203143874,-1419425.3571903352,300.0581997654928,1469.6758349794372,0.9228081988695219,106
70000,279.99999999988074,-1760314.2469883189,341069.3944205565,-1419244.8525677624,301.05659725120995,1469.6758349794372,0.9228081988695219,105
71000,283.99999999989984,-1760508.0015357789,341660.15277130075,-1418847.8487644782,301.57805036832394,1469.6758349794372,0.9228081988695219,105
72000,287.99999999991894,-1762131.65545284,340382.3489959602,-1421749.3064568797,300.45015304639526,1469.6758349794372,0.9228081988695219,105
73000,291.99999999993804,-1759755.3999530338,339889.02038596384,-1419866.37956707,300.0146996311028,1469.6758349794372,0.9228081988695219,104
74000,295.99999999995714,-1760423.042667415,340514.13692404435,-1419908.9057433708,300.5664801805118,1469.6758349794372,0.9228081988695219,104
75000,299.99999999997624,-1760107.4336161464,341453.70326270617,-1418653.7303534402,301.39582062980617,1469.6758349794372,0.9228081988695219,103
76000,303.99999999999534,-1761354.4176359978,341552.3825230488,-1419802.035112949,301.48292326294774,1469.6758349794372,0.9228081988695219,103
77000,308.00000000001444,-1763202.2490121387,340981.17293393303,-1422221.0760782056,300.9787255306692,1469.6758349794372,0.9228081988695219,103
78000,312.00000000003354,-1760333.339392852,340219.1152959724,-1420114.2240968796,300.3060692233406,1469.6758349794372,0.9228081988695219,102
79000,316.00000000005264,-1759676.9318213463,340379.35941748525,-1419297.572403861,300.447514192433,1469.6758349794372,0.9228081988695219,102
80000,320.00000000007174,-1759883.9044199884,342368.1274944097,-1417515.7769255787,302.20296853619755,1469.6758349794372,0.9228081988695219,101
81000,324.00000000009084,-1760315.1044411957,342021.7029570383,-1418293.4014841574,301.89718503837724,1469.6758349794372,0.9228081988695219,101
82000,328.00000000010994,-1761295.723066887,340590.0042660871,-1420705.7188008,300.6334470916786,1469.6758349794372,0.9228081988695219,101
83000,332.00000000012903,-1758377.6928547826,339612.23372550943,-1418765.4591292732,299.7703843934296,1469.6758349794372,0.9228081988695219,100
84000,336.00000000014813,-1760248.5188582279,340693.86565135274,-1419554.653206875,300.72512390509365,1469.6758349794372,0.9228081988695219,99.8
85000,340.00000000016723,-1760845.3994831983,341168.56401214143,-1419676.8354710569,301.1441326920373,1469.6758349794372,0.9228081988695219,99.4
86000,344.00000000018633,-1760407.1579157151,339681.2228887242,-1420725.935026991,299.83128004418097,1469.6758349794372,0.9228081988695219,99.1
87000,348.00000000020543,-1760688.8521678653,341080.4803254735,-1419608.3718423918,301.06638260535294,1469.6758349794372,0.9228081988695219,98.7
88000,352.00000000022453,-1758786.5335057806,342081.39773917664,-1416705.135766604,301.9498766849402,1469.6758349794372,0.9228081988695219,98.3
89000,356.00000000024363,-1760311.0401032772,341512.66691759654,-1418798.3731856807,301.4478669218312,1469.6758349794372,0.9228081988695219,98
90000,360.00000000026273,-1760196.9991750792,339688.92539067584,-1420508.0737844033,299.83807892166993,1469.6758349794372,0.9228081988695219,97.7
91000,364.00000000028183,-1759261.4276588429,341684.6936236358,-1417576.734035207,301.599712193215,1469.6758349794372,0.9228081988695219,97.3
92000,368.00000000030093,-1757063.7352455053,340441.64590865135,-1416622.089336854,300.5024934998465,1469.6758349794372,0.9228081988695219,97
