#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-4009992.589806553,14432.131980876955,-3995560.457825676,7.133628145244373,2582.3716224733676,0.938637458137635,0
2000,7.999999999999562,-4006800.589806553,24865.469731791767,-3981935.120074761,12.290700705790897,2582.3716224733676,0.938637458137635,85
3000,11.999999999999122,-3999844.589806553,37131.00021295863,-3962713.5895935944,18.35340395523055,2582.3716224733676,0.938637458137635,85.1
4000,15.999999999998682,-3992362.589806553,49008.05254146822,-3943354.5372650847,24.224087156122945,2582.3716224733676,0.938637458137635,84.3
5000,20.000000000000018,-3984200.589806553,61273.79151181459,-3922926.7982947384,30.28689345924039,2582.3716224733676,0.938637458137635,83.5
6000,24.000000000001354,-3976184.589806553,73266.82647875333,-3902917.7633277997,36.2149054744032,2582.3716224733676,0.938637458137635,83.6
7000,28.00000000000269,-3968620.589806553,85578.82605420567,-3883041.7637523473,42.30057783466572,2582.3716224733676,0.938637458137635,82.3
8000,32.00000000000402,-3961092.589806553,97527.31045995218,-3863565.2793466006,48.206569046690895,2582.3716224733676,0.938637458137635,82.4
9000,36.000000000001805,-3952718.589806553,110157.2053103543,-3842561.3844961985,54.44937319341619,2582.3716224733676,0.938637458137635,82.1
10000,39.99999999999959,-3944086.589806553,121658.9003043413,-3822427.6895022118,60.134521807345116,2582.3716224733676,0.938637458137635,81.8
11000,43.99999999999737,-3935878.589806553,133736.21291517356,-3802142.3768913792,66.10419124175066,2582.3716224733676,0.938637458137635,82.6
12000,47.999999999995154,-3928130.589806553,145999.61423451474,-3782130.9755720384,72.1658420722722,2582.3716224733676,0.938637458137635,81.9
13000,51.99999999999294,-3918750.589806553,158031.64770025597,-3760718.9421062972,78.11313057333803,2582.3716224733676,0.938637458137635,81.8
14000,55.99999999999072,-3910181.589806553,170865.6104653898,-3739315.9793411633,84.45680302018698,2582.3716224733676,0.938637458137635,81.6
15000,59.9999999999885,-3901696.589806553,182829.65694655868,-3718866.9328599945,90.3704863777232,2582.3716224733676,0.938637458137635,81.6
16000,63.99999999998629,-3892084.589806553,194762.47122953975,-3697322.1185770133,96.26873203774352,2582.3716224733676,0.938637458137635,81.4
17000,67.99999999999118,-3884076.589806553,206801.22939533283,-3677275.36041122,102.21934447664623,2582.3716224733676,0.938637458137635,81.3
18000,71.99999999999606,-3873676.589806553,219819.20995442072,-3653857.3798521324,108.65397469161398,2582.3716224733676,0.938637458137635,81.4
19000,76.00000000000095,-3863684.589806553,230955.00455442065,-3632729.5852521323,114.15826316981517,2582.3716224733676,0.938637458137635,81.6
20000,80.00000000000584,-3853490.589806553,242649.63721743724,-3610840.9525891156,119.93877853814261,2582.3716224733676,0.938637458137635,81.3
21000,84.00000000001073,-3842935.589806553,255994.27645589097,-3586941.313350662,126.5348721842999,2582.3716224733676,0.938637458137635,81.3
22000,88.00000000001562,-3831214.589806553,267353.527662173,-3563861.06214438,132.14961255816883,2582.3716224733676,0.938637458137635,81.2
23000,92.0000000000205,-3819628.589806553,280533.041328181,-3539095.548478372,138.66408663261907,2582.3716224733676,0.938637458137635,81.2
24000,96.0000000000254,-3807614.589806553,292923.0013012914,-3514691.5885052616,144.78829387377687,2582.3716224733676,0.938637458137635,81.1
25000,100.00000000003028,-3795940.589806553,304067.78231280367,-3491872.807493749,150.2970242264131,2582.3716224733676,0.938637458137635,81.2
26000,104.00000000003517,-3784025.589806553,314937.38563795824,-3469088.204168595,155.66973757955503,2582.3716224733676,0.938637458137635,81.1
27000,108.00000000004006,-3770528.589806553,328258.9118005374,-3442269.6780060157,162.2544067120784,2582.3716224733676,0.938637458137635,81.4
28000,112.00000000004495,-3758120.589806553,340730.1333589126,-3417390.4564476404,168.41878057120647,2582.3716224733676,0.938637458137635,80.6
29000,116.00000000004984,-3742678.589806553,352692.0661770913,-3389986.5236294614,174.33141917071134,2582.3716224733676,0.938637458137635,80.4
30000,120.00000000005473,-3726832.589806553,362712.131311125,-3364120.458495428,179.28421607916792,2582.3716224733676,0.938637458137635,80.1
31000,124.00000000005961,-3706232.589806553,376101.7626181399,-3330130.827188413,185.90254876021112,2582.3716224733676,0.938637458137635,79.8
32000,128.0000000000645,-3688781.589806553,388815.2183644463,-3299966.3714421066,192.1866560463239,2582.3716224733676,0.938637458137635,79.4
33000,132.00000000005517,-3668502.589806553,400639.5627442674,-3267863.0270622857,198.03128634617988,2582.3716224733676,0.938637458137635,79.3
34000,136.00000000004584,-3645066.589806553,413323.16641777643,-3231743.4233887764,204.3006381140516,2582.3716224733676,0.938637458137635,79.1
35000,140.00000000003652,-3618117.589806553,423162.01987457334,-3194955.5699319798,209.16386428391627,2582.3716224733676,0.938637458137635,78.7
36000,144.0000000000272,-3590284.589806553,436186.00416891085,-3154098.585637642,215.601462072546,2582.3716224733676,0.938637458137635,77.8
37000,148.00000000001788,-3558246.589806553,448010.84629699064,-3110235.743509562,221.44633840334131,2582.3716224733676,0.938637458137635,77.2
38000,152.00000000000855,-3523130.589806553,459667.8564138034,-3063462.7333927494,227.20825740248014,2582.3716224733676,0.938637458137635,76.5
39000,155.99999999999923,-3485638.589806553,473723.8319779822,-3011914.757828571,234.1559559841141,2582.3716224733676,0.938637458137635,76.1
40000,159.9999999999899,-3448175.589806553,483347.46206775925,-2964828.127738794,238.9127998488196,2582.3716224733676,0.938637458137635,75.7
41000,163.9999999999806,-3414506.589806553,498239.91933788644,-2916266.6704686666,246.2739612125596,2582.3716224733676,0.938637458137635,75.3
42000,167.99999999997127,-3387899.589806553,508701.4105195481,-2879198.1792870048,251.44494967314273,2582.3716224733676,0.938637458137635,75.2
43000,171.99999999996194,-3354904.589806553,522982.4181806106,-2831922.1716259425,258.50387889637835,2582.3716224733676,0.938637458137635,74.9
44000,175.99999999995262,-3331730.589806553,535851.2588686888,-2795879.3309378643,264.86479107836095,2582.3716224733676,0.938637458137635,74.6
45000,179.9999999999433,-3302081.589806553,544324.1429212916,-2757757.446885261,269.05283510602976,2582.3716224733676,0.938637458137635,74.4
46000,183.99999999993398,-3279602.589806553,560202.3918601158,-2719400.197946437,276.90126135914875,2582.3716224733676,0.938637458137635,74.3
47000,187.99999999992465,-3248598.589806553,569396.4318669288,-2679202.157939624,281.4457640457933,2582.3716224733676,0.938637458137635,74.1
48000,191.99999999991533,-3224439.589806553,582797.2493204367,-2641642.3404861162,288.06962590364594,2582.3716224733676,0.938637458137635,73.8
49000,195.999999999906,-3197612.589806553,595144.7129462492,-2602467.876860304,294.1728277147289,2582.3716224733676,0.938637458137635,73.6
50000,199.9999999998967,-3177372.589806553,608555.4491443012,-2568817.140662252,300.80159228794884,2582.3716224733676,0.938637458137635,73.2
51000,203.99999999988736,-3172898.589806553,607582.1000428975,-2565316.4897636557,300.3204776089726,2582.3716224733676,0.938637458137635,72.8
52000,207.99999999987804,-3172466.934757728,610483.5924586034,-2561983.3422991247,301.75465018910967,2582.3716224733676,0.938637458137635,65.8
53000,211.99999999986872,-3170687.9834784865,607690.7770230555,-2562997.206455431,300.37419532479055,2582.3716224733676,0.938637458137635,62.9
54000,215.9999999998594,-3172101.640374977,609769.9010969028,-2562331.7392780744,301.4018811878567,2582.3716224733676,0.938637458137635,61
55000,219.99999999985008,-3172899.0423529036,607988.4030792009,-2564910.6392737026,300.5213082817459,2582.3716224733676,0.938637458137635,59.4
56000,223.99999999984075,-3168287.704558149,607376.8573170959,-2560910.8472410534,300.21902861395756,2582.3716224733676,0.938637458137635,58
57000,227.99999999983143,-3173497.7948031835,609740.4021147613,-2563757.3926884225,301.38730019805286,2582.3716224733676,0.938637458137635,56.6
58000,231.9999999998221,-3171482.6052011065,607938.0079939122,-2563544.597207194,300.49639860109204,2582.3716224733676,0.938637458137635,55.3
59000,235.9999999998128,-3171341.99418905,609821.825387312,-2561520.168801738,301.4275467360914,2582.3716224733676,0.938637458137635,54.2
60000,239.99999999980346,-3174331.183546141,608223.5566054956,-2566107.6269406453,300.6375418233912,2582.3716224733676,0.938637458137635,53.1
61000,243.99999999979414,-3170298.981711287,605821.8127127893,-2564477.1689984975,299.45038888899586,2582.3716224733676,0.938637458137635,52.1
62000,247.99999999978482,-3170936.3735706434,609135.4451505654,-2561800.928420078,301.0882772933172,2582.3716224733676,0.938637458137635,51.1
63000,251.9999999997755,-3173245.4206163734,608304.2412755279,-2564941.1793408454,300.6774232791452,2582.3716224733676,0.938637458137635,50.2
64000,255.99999999976617,-3174597.938372258,609046.6620402909,-2565551.276331967,301.04439287657857,2582.3716224733676,0.938637458137635,49.5
65000,259.99999999978525,-3174526.817392282,609132.4980800436,-2565394.3193122386,301.08682059203096,2582.3716224733676,0.938637458137635,48.6
66000,263.99999999980434,-3173547.0711143054,610889.555193062,-2562657.5159212435,301.95531265480025,2582.3716224733676,0.938637458137635,47.9
67000,267.99999999982344,-3170172.915292289,609402.4843100968,-2560770.430982192,301.2202715175137,2582.3716224733676,0.938637458137635,47.2
68000,271.99999999984254,-3171172.7023526765,610228.4739077582,-2560944.228444918,301.6285481774946,2582.3716224733676,0.938637458137635,46.6
69000,275.99999999986164,-3170270.8745554574,611275.5363092639,-2558995.3382461937,302.14609844845285,2582.3716224733676,0.938637458137635,46
70000,279.99999999988074,-3172647.7866824605,609614.1044563947,-2563033.6822260655,301.32487279428494,2582.3716224733676,0.938637458137635,45.4
71000,283.99999999989984,-3174483.6724398807,609023.5628695326,-2565460.109570348,301.0329752360753,2582.3716224733676,0.938637458137635,44.9
72000,287.99999999991894,-3174057.1695673726,609276.8636731979,-2564780.3058941746,301.15817875726225,2582.3716224733676,0.938637458137635,44.3
73000,291.99999999993804,-3171413.2053100467,609727.8313658362,-2561685.3739442104,301.38108662902107,2582.3716224733676,0.938637458137635,43.9
74000,295.99999999995714,-3175988.3260172307,608984.1433853819,-2567004.182631849,301.01349066221053,2582.3716224733676,0.938637458137635,43.4
75000,299.99999999997624,-3173926.4557860605,609117.6234714095,-2564808.832314651,301.079468253032,2582.3716224733676,0.938637458137635,43
76000,303.99999999999534,-3174041.398478877,609390.8102329931,-2564650.5882458836,301.21450116250946,2582.3716224733676,0.938637458137635,42.6
77000,308.00000000001444,-3176536.558657728,610536.5353493162,-2566000.023308412,301.78081921914486,2582.3716224733676,0.938637458137635,42.2
78000,312.00000000003354,-3177243.9240325317,610143.4789874426,-2567100.4450450893,301.5865362171986,2582.3716224733676,0.938637458137635,41.8
79000,316.00000000005264,-3175503.7904280163,607603.2851051308,-2567900.5053228857,300.33094912880114,2582.3716224733676,0.938637458137635,41.5
80000,320.00000000007174,-3174286.302284371,609570.0361368728,-2564716.266147498,301.3030903573677,2582.3716224733676,0.938637458137635,41.1
81000,324.00000000009084,-3179310.5967221297,611022.4448528878,-2568288.151869242,302.0209984050969,2582.3716224733676,0.938637458137635,40.8
82000,328.00000000010994,-3175650.284556661,610293.2015857643,-2565357.0829708967,301.6605422852406,2582.3716224733676,0.938637458137635,40.5
83000,332.00000000012903,-3171179.0506454706,610446.6218350022,-2560732.4288104684,301.73637605737235,2582.3716224733676,0.938637458137635,40.2
84000,336.00000000014813,-3174043.905068226,609223.5150187172,-2564820.390049509,301.1318091631081,2582.3716224733676,0.938637458137635,39.9
85000,340.00000000016723,-3176345.327186376,608048.0905226914,-2568297.2366636842,300.55081106258007,2582.3716224733676,0.938637458137635,39.7
86000,344.00000000018633,-3171783.023884952,606651.2296114112,-2565131.794273541,299.86035962235604,2582.3716224733676,0.938637458137635,39.4
87000,348.00000000020543,-3179714.023892805,609221.1006730878,-2570492.923219717,301.13061578128776,2582.3716224733676,0.938637458137635,39.1
88000,352.00000000022453,-3175630.435004011,609995.2020489434,-2565635.2329550674,301.51324472130807,2582.3716224733676,0.938637458137635,38.8
89000,356.00000000024363,-3177432.892888002,609967.9134185078,-2567464.9794694944,301.4997562815974,2582.3716224733676,0.938637458137635,38.6
90000,360.00000000026273,-3175586.901690785,608927.0645082816,-2566659.837182503,300.9852772641678,2582.3716224733676,0.938637458137635,38.3
91000,364.00000000028183,-3176569.17216105,608363.498162974,-2568205.673998076,300.7067132413383,2582.3716224733676,0.938637458137635,38.1
92000,368.00000000030093,-3174395.071159389,607079.572235158,-2567315.498924231,300.07208419642564,2582.3716224733676,0.938637458137635,37.8
93000,372.00000000032003,-3174500.595186405,609895.7238233098,-2564604.871363095,301.4640738385058,2582.3716224733676,0.938637458137635,37.6
94000,376.0000000003391,-3176293.8316881508,609177.5552462206,-2567116.2764419303,301.1090918038804,2582.3716224733676,0.938637458137635,37.4
95000,380.0000000003582,-3178016.6034393795,608981.1861264367,-2569035.417312943,301.0120289249099,2582.3716224733676,0.938637458137635,37.2
96000,384.0000000003773,-3177217.006834656,608737.83721822,-2568479.169616436,300.891744505181,2582.3716224733676,0.938637458137635,37
97000,388.0000000003964,-3175205.9166354574,608099.1939546266,-2567106.722680831,300.57607087040714,2582.3716224733676,0.938637458137635,36.8
98000,392.0000000004155,-3175996.6267106533,609279.6547720646,-2566716.9719385887,301.15955836364736,2582.3716224733676,0.938637458137635,36.7
99000,396.0000000004346,-3176270.441491712,607067.3919586183,-2569203.0495330933,300.0660636331675,2582.3716224733676,0.938637458137635,36.5
100000,400.0000000004537,-3175530.090748679,609417.7802551434,-2566112.3104935354,301.2278321180013,2582.3716224733676,0.938637458137635,36.3
